Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r13088
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,a274c5
Behavior Date:,2021-5-6
Behavior Time:,11:38 AM
Ethogram:,2021 bass.csv
Coding Began:,05/06/2021 11:40:17 AM
Coding Ended:,05/06/2021 11:45:57 AM
Session duration:,00:05:40
App Version:,1.0.44.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:40:17,00:00:15.1617310,00:00:15.1617310
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Scratch,11:40:32,00:00:08.3296006,00:00:23.4913316
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Tactile/expl,11:40:41,00:00:11.1663691,00:00:34.6577007
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Groom,11:40:52,00:00:17.2768095,00:00:51.9345102
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:41:09,00:00:03.5410897,00:00:55.4755999
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Yawn,11:41:13,00:00:00.7687677,00:00:56.2443676
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:41:13,00:00:28.8382810,00:01:25.0826486
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Locomotion,11:41:42,00:00:04.2128225,00:01:29.2954711
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:41:46,00:00:12.0763054,00:01:41.3717765
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Tactile/expl,11:41:58,00:00:03.8066839,00:01:45.1784604
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:42:02,00:00:41.4141886,00:02:26.5926490
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Groom,11:42:44,00:00:07.7723610,00:02:34.3650100
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Yawn,11:42:51,00:00:14.5907517,00:02:48.9557617
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:43:06,00:00:48.4507188,00:03:37.4064805
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Locomotion,11:43:55,00:00:04.6218731,00:03:42.0283536
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:43:59,00:00:15.7338916,00:03:57.7622452
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Yawn,11:44:15,00:00:01.7015463,00:03:59.4637915
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:44:17,00:00:24.3582145,00:04:23.8220060
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,SocGroom,11:44:41,00:00:03.3319196,00:04:27.1539256
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Locomotion,11:44:44,00:00:04.0947081,00:04:31.2486337
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:44:48,00:00:21.2147617,00:04:52.4633954
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Locomotion,11:45:10,00:00:03.4697807,00:04:55.9331761
ta,r13088,Pair,a274c5,2021-5-6,1.0.44.0,Inactive,11:45:13,00:00:05.3536405,00:05:01.2868166

BehavCode, Occurrences, totalTime
Inactive,10,00:03:36.1428228
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,4,00:00:16.3991844
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/expl,2,00:00:14.9730530
Jumping,0,00:00:00
FearGrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:08.3296006
Groom,2,00:00:25.0491705
Rock,0,00:00:00
Yawn,3,00:00:17.0610657
SocGroom,1,00:00:03.3319196
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
