Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r16005
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,a270c11
Behavior Date:,2021-5-27
Behavior Time:,10:23 AM
Ethogram:,2021 bass.csv
Coding Began:,05/27/2021 10:23:33 AM
Coding Ended:,05/27/2021 10:28:35 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r16005,Pair,a270c11,2021-5-27,1.0.46.0,Inactive,10:23:33,00:00:55.2475715,00:00:55.2475715
ta,r16005,Pair,a270c11,2021-5-27,1.0.46.0,Vocal,10:24:28,00:00:02.4558627,00:00:57.7034342
ta,r16005,Pair,a270c11,2021-5-27,1.0.46.0,Inactive,10:24:31,00:02:33.9009397,00:03:31.6043739
ta,r16005,Pair,a270c11,2021-5-27,1.0.46.0,Eat/drink,10:27:04,00:00:45.4369644,00:04:17.0413383
ta,r16005,Pair,a270c11,2021-5-27,1.0.46.0,Inactive,10:27:50,00:00:43.7989203,00:05:00.8402586

BehavCode, Occurrences, totalTime
Inactive,3,00:04:12.9474315
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,1,00:00:45.4369644
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:02.4558627
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
