Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r16057
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c327c1
Behavior Date:,2021-5-11
Behavior Time:,11:28 AM
Ethogram:,2021 bass.csv
Coding Began:,05/11/2021 11:28:33 AM
Coding Ended:,05/11/2021 11:33:36 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Inactive,11:28:33,00:00:16.9703010,00:00:16.9703010
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Groom,11:28:50,00:00:07.7739854,00:00:24.7442864
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Inactive,11:28:58,00:00:05.2730966,00:00:30.0173830
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Groom,11:29:03,00:00:07.5884109,00:00:37.6057939
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Inactive,11:29:10,00:00:19.7946823,00:00:57.4004762
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Scratch,11:29:30,00:00:04.5766588,00:01:01.9771350
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Inactive,11:29:35,00:00:32.7036557,00:01:34.6807907
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Locomotion,11:30:08,00:00:27.1662872,00:02:01.8470779
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Eat/drink,11:30:35,00:00:19.5276773,00:02:21.3747552
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Locomotion,11:30:54,00:00:08.5407430,00:02:29.9154982
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Inactive,11:31:03,00:00:05.6413861,00:02:35.5568843
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Groom,11:31:08,00:00:10.6111508,00:02:46.1680351
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Inactive,11:31:19,00:00:08.3547233,00:02:54.5227584
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Locomotion,11:31:27,00:00:07.5150860,00:03:02.0378444
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Scratch,11:31:35,00:00:05.2993047,00:03:07.3371491
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Inactive,11:31:40,00:00:16.1302270,00:03:23.4673761
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Locomotion,11:31:56,00:00:02.7065956,00:03:26.1739717
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Eat/drink,11:31:59,00:00:23.3541828,00:03:49.5281545
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Locomotion,11:32:22,00:00:04.7793588,00:03:54.3075133
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Inactive,11:32:27,00:00:04.6192755,00:03:58.9267888
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Scratch,11:32:32,00:00:02.6169929,00:04:01.5437817
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Eat/drink,11:32:34,00:00:20.9859551,00:04:22.5297368
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Scratch,11:32:55,00:00:03.9164304,00:04:26.4461672
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Eat/drink,11:32:59,00:00:09.3436652,00:04:35.7898324
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Locomotion,11:33:09,00:00:06.2301185,00:04:42.0199509
mr,r16057,Pair,c327c1,2021-5-11,1.0.46.0,Eat/drink,11:33:15,00:00:19.4327630,00:05:01.4527139

BehavCode, Occurrences, totalTime
Inactive,8,00:01:49.4873475
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,6,00:00:56.9381891
Aggression,0,00:00:00
Eat/drink,5,00:01:32.6442434
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,4,00:00:16.4093868
Groom,3,00:00:25.9735471
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
