Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r16101
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a265c9
Behavior Date:,2021-5-19
Behavior Time:,11:17 AM
Ethogram:,2021 bass.csv
Coding Began:,05/19/2021 11:17:31 AM
Coding Ended:,05/19/2021 11:22:35 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Locomotion,11:17:31,00:00:04.1881330,00:00:04.1881330
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Pacing,11:17:35,00:00:45.4178105,00:00:49.6059435
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Inactive,11:18:20,00:00:07.6816920,00:00:57.2876355
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Scratch,11:18:28,00:00:01.0706546,00:00:58.3582901
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Inactive,11:18:29,00:00:45.1940959,00:01:43.5523860
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Locomotion,11:19:14,00:00:01.2804039,00:01:44.8327899
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Eat/drink,11:19:15,00:00:07.3554470,00:01:52.1882369
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Locomotion,11:19:23,00:00:07.5139485,00:01:59.7021854
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Pacing,11:19:30,00:01:10.7622690,00:03:10.4644544
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Eat/drink,11:20:41,00:00:14.2372460,00:03:24.7017004
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Locomotion,11:20:55,00:00:08.7716630,00:03:33.4733634
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Eat/drink,11:21:04,00:00:07.5200408,00:03:40.9934042
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Locomotion,11:21:12,00:00:13.4386346,00:03:54.4320388
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Tactile/explore,11:21:25,00:00:06.0850842,00:04:00.5171230
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Eat/drink,11:21:31,00:00:07.4474569,00:04:07.9645799
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Locomotion,11:21:39,00:00:10.1774155,00:04:18.1419954
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Inactive,11:21:49,00:00:03.4176462,00:04:21.5596416
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Mantleshake,11:21:52,00:00:01.8904280,00:04:23.4500696
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Tactile/explore,11:21:54,00:00:06.9247401,00:04:30.3748097
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Scratch,11:22:01,00:00:02.1154801,00:04:32.4902898
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Inactive,11:22:03,00:00:06.0847934,00:04:38.5750832
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Scratch,11:22:09,00:00:01.2552881,00:04:39.8303713
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Inactive,11:22:10,00:00:10.9634329,00:04:50.7938042
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Scratch,11:22:21,00:00:01.5659714,00:04:52.3597756
ta,r16101,Single,a265c9,2021-5-19,1.0.46.0,Inactive,11:22:23,00:00:10.2237210,00:05:02.5834966

BehavCode, Occurrences, totalTime
Inactive,6,00:01:23.5653814
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,6,00:00:45.3701985
Aggression,0,00:00:00
Eat/drink,4,00:00:36.5601907
Pacing,2,00:01:56.1800795
Present,0,00:00:00
Tactile/explore,2,00:00:13.0098243
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,4,00:00:06.0073942
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,1,00:00:01.8904280
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
