Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r17051
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,cb27c5
Behavior Date:,2021-4-29
Behavior Time:,10:47 AM
Ethogram:,2021 bass.csv
Coding Began:,04/29/2021 10:48:28 AM
Coding Ended:,04/29/2021 10:53:33 AM
Session duration:,00:05:05
App Version:,1.0.44.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Sex/self/other,10:48:28,00:00:03.2053846,00:00:03.2053846
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Yawn,10:48:31,00:00:03.1338047,00:00:06.3391893
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Inactive,10:48:34,00:00:10.7904518,00:00:17.1296411
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Groom,10:48:45,00:00:06.7645124,00:00:23.8941535
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Tactile/expl,10:48:52,00:00:04.5023532,00:00:28.3965067
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Salute,10:48:56,00:00:06.2311987,00:00:34.6277054
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Inactive,10:49:03,00:00:22.3272180,00:00:56.9549234
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Sex/self/other,10:49:25,00:00:15.8776403,00:01:12.8325637
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Yawn,10:49:41,00:00:03.0858487,00:01:15.9184124
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Inactive,10:49:44,00:00:13.0043273,00:01:28.9227397
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Sex/self/other,10:49:57,00:00:25.2588561,00:01:54.1815958
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Yawn,10:50:22,00:00:06.3076057,00:02:00.4892015
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Locomotion,10:50:28,00:00:13.1346957,00:02:13.6238972
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Inactive,10:50:42,00:00:12.6986352,00:02:26.3225324
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Locomotion,10:50:54,00:00:10.3130843,00:02:36.6356167
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Pacing,10:51:05,00:00:07.2276473,00:02:43.8632640
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Inactive,10:51:12,00:00:07.0606618,00:02:50.9239258
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Locomotion,10:51:19,00:00:07.9538681,00:02:58.8777939
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Pacing,10:51:27,00:00:59.9176735,00:03:58.7954674
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Inactive,10:52:27,00:00:05.9906123,00:04:04.7860797
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Locomotion,10:52:33,00:00:30.5939116,00:04:35.3799913
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Pacing,10:53:03,00:00:10.4417425,00:04:45.8217338
mr,r17051,Pair,cb27c5,2021-4-29,1.0.44.0,Locomotion,10:53:14,00:00:14.8913559,00:05:00.7130897

BehavCode, Occurrences, totalTime
Inactive,6,00:01:11.8719064
Threat/display,0,00:00:00
Sex/self/other,3,00:00:44.3418810
Locomotion,5,00:01:16.8869156
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,3,00:01:17.5870633
Present,0,00:00:00
Tactile/expl,1,00:00:04.5023532
Jumping,0,00:00:00
FearGrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:06.7645124
Rock,0,00:00:00
Yawn,3,00:00:12.5272591
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,1,00:00:06.2311987
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
