Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r17063
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,cb30c21
Behavior Date:,2021-5-13
Behavior Time:,10:39 AM
Ethogram:,2021 bass.csv
Coding Began:,05/13/2021 10:40:16 AM
Coding Ended:,05/13/2021 10:45:19 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Inactive,10:40:16,00:01:04.0911794,00:01:04.0911794
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Locomotion,10:41:21,00:00:03.9783318,00:01:08.0695112
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Inactive,10:41:25,00:00:54.3102044,00:02:02.3797156
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Social/play,10:42:19,00:00:02.2974367,00:02:04.6771523
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Inactive,10:42:21,00:00:38.7293410,00:02:43.4064933
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Locomotion,10:43:00,00:00:06.5946601,00:02:50.0011534
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Pacing,10:43:06,00:00:45.8369150,00:03:35.8380684
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Inactive,10:43:52,00:00:09.2474390,00:03:45.0855074
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Locomotion,10:44:02,00:00:04.6767001,00:03:49.7622075
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Tactile/explore,10:44:06,00:00:03.6944791,00:03:53.4566866
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Inactive,10:44:10,00:00:09.5627565,00:04:03.0194431
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Locomotion,10:44:19,00:00:06.2065076,00:04:09.2259507
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Pacing,10:44:26,00:00:41.8488179,00:04:51.0747686
ta,r17063,Pair,cb30c21,2021-5-13,1.0.46.0,Inactive,10:45:08,00:00:09.7483859,00:05:00.8231545

BehavCode, Occurrences, totalTime
Inactive,6,00:03:05.6893062
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,4,00:00:21.4561996
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,2,00:01:27.6857329
Present,0,00:00:00
Tactile/explore,1,00:00:03.6944791
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:02.2974367
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
