Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r17075
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a270c20
Behavior Date:,2021-5-27
Behavior Time:,11:19 AM
Ethogram:,2021 bass.csv
Coding Began:,05/27/2021 11:20:45 AM
Coding Ended:,05/27/2021 11:25:47 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Tactile/explore,11:20:45,00:00:59.2976232,00:00:59.2976232
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Locomotion,11:21:44,00:00:01.9494384,00:01:01.2470616
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Swing/spin/flip,11:21:46,00:00:08.6235574,00:01:09.8706190
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Locomotion,11:21:55,00:00:03.4547278,00:01:13.3253468
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Tactile/explore,11:21:58,00:00:37.1633284,00:01:50.4886752
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Locomotion,11:22:35,00:00:02.7278552,00:01:53.2165304
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Tactile/explore,11:22:38,00:00:28.5615572,00:02:21.7780876
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Locomotion,11:23:07,00:00:04.1198681,00:02:25.8979557
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Inactive,11:23:11,00:00:08.3981165,00:02:34.2960722
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Threat/display,11:23:19,00:00:04.4987826,00:02:38.7948548
ta,r17075,Single,a270c20,2021-5-27,1.0.46.0,Tactile/explore,11:23:24,00:02:22.2044333,00:05:00.9992881

BehavCode, Occurrences, totalTime
Inactive,1,00:00:08.3981165
Threat/display,1,00:00:04.4987826
Sex/self/other,0,00:00:00
Locomotion,4,00:00:12.2518895
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,4,00:04:27.2269421
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,1,00:00:08.6235574
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
