Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r17105
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c436c15
Behavior Date:,2021-5-25
Behavior Time:,11:33 AM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 11:34:21 AM
Coding Ended:,05/25/2021 11:39:46 AM
Session duration:,00:05:25
App Version:,1.0.46.0
Notes:,other=sucks thumb. sucked thumb throughout cling

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,Cling,11:34:21,00:02:52.8761348,00:02:52.8761348
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,Locomotion,11:37:13,00:00:15.3581360,00:03:08.2342708
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,Inactive,11:37:29,00:00:03.6396623,00:03:11.8739331
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,Locomotion,11:37:32,00:00:09.2521544,00:03:21.1260875
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,SocGroom,11:37:42,00:00:05.2126438,00:03:26.3387313
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,Other,11:37:47,00:00:01.4531477,00:03:27.7918790
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,SocGroom,11:37:48,00:00:40.1970344,00:04:07.9889134
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,Inactive,11:38:29,00:00:07.1323974,00:04:15.1213108
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,Yawn,11:38:36,00:00:01.7598858,00:04:16.8811966
mr,r17105,Pair,c436c15,2021-5-25,1.0.46.0,SocGroom,11:38:37,00:00:44.1428312,00:05:01.0240278

BehavCode, Occurrences, totalTime
Inactive,2,00:00:10.7720597
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:24.6102904
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,1,00:00:01.7598858
SocGroom,3,00:01:29.5525094
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,1,00:02:52.8761348
Selfbite,0,00:00:00
Other,1,00:00:01.4531477
