Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r97061
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,c420c21
Behavior Date:,2021-6-21
Behavior Time:,11:57 AM
Ethogram:,2021 bass.csv
Coding Began:,06/21/2021 11:58:24 AM
Coding Ended:,06/21/2021 12:03:32 PM
Session duration:,00:05:08
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r97061,Group,c420c21,2021-6-21,1.0.46.0,Inactive,11:58:24,00:00:52.0164258,00:00:52.0164258
mr,r97061,Group,c420c21,2021-6-21,1.0.46.0,Locomotion,11:59:16,00:00:03.5550870,00:00:55.5715128
mr,r97061,Group,c420c21,2021-6-21,1.0.46.0,Inactive,11:59:20,00:01:42.9242955,00:02:38.4958083
mr,r97061,Group,c420c21,2021-6-21,1.0.46.0,Locomotion,12:01:03,00:00:09.8754710,00:02:48.3712793
mr,r97061,Group,c420c21,2021-6-21,1.0.46.0,Inactive,12:01:13,00:02:09.3230558,00:04:57.6943351
mr,r97061,Group,c420c21,2021-6-21,1.0.46.0,Social/play,12:03:22,00:00:04.2525972,00:05:01.9469323

BehavCode, Occurrences, totalTime
Inactive,3,00:04:44.2637771
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:13.4305580
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:04.2525972
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
