Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,rh2736
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c420c1
Behavior Date:,2021-5-18
Behavior Time:,11:11 AM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 11:11:46 AM
Coding Ended:,05/18/2021 11:17:00 AM
Session duration:,00:05:13
App Version:,1.0.46.0
Notes:,with infant entirely

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,rh2736,Pair,c420c1,2021-5-18,1.0.46.0,Cling,11:11:46,00:05:01.7417477,00:05:01.7417477

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,1,00:05:01.7417477
Selfbite,0,00:00:00
Other,0,00:00:00
