Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,rh2759
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,c420c7
Behavior Date:,2021-5-20
Behavior Time:,10:52 AM
Ethogram:,2021 bass.csv
Coding Began:,05/20/2021 10:53:36 AM
Coding Ended:,05/20/2021 10:58:45 AM
Session duration:,00:05:09
App Version:,1.0.46.0
Notes:,with infant

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Inactive,10:53:36,00:00:02.9994403,00:00:02.9994403
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Cling,10:53:39,00:00:18.6911385,00:00:21.6905788
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Locomotion,10:53:57,00:00:04.6793997,00:00:26.3699785
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Threat/display,10:54:02,00:00:06.0259962,00:00:32.3959747
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Inactive,10:54:08,00:00:04.9328967,00:00:37.3288714
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Locomotion,10:54:13,00:00:06.6392200,00:00:43.9680914
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Inactive,10:54:20,00:00:03.9061575,00:00:47.8742489
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Threat/display,10:54:24,00:00:06.1058778,00:00:53.9801267
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Locomotion,10:54:30,00:00:08.4280823,00:01:02.4082090
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Inactive,10:54:38,00:00:03.4795656,00:01:05.8877746
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Cling,10:54:42,00:00:38.2241372,00:01:44.1119118
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Scratch,10:55:20,00:00:06.2658764,00:01:50.3777882
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Inactive,10:55:26,00:00:03.7061831,00:01:54.0839713
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Cling,10:55:30,00:00:31.6386063,00:02:25.7225776
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Locomotion,10:56:01,00:00:05.8135814,00:02:31.5361590
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Inactive,10:56:07,00:00:02.3205889,00:02:33.8567479
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Cling,10:56:10,00:00:07.6923530,00:02:41.5491009
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Threat/display,10:56:17,00:00:03.4262839,00:02:44.9753848
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Locomotion,10:56:21,00:00:07.5062921,00:02:52.4816769
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Vocal,10:56:28,00:00:02.3996861,00:02:54.8813630
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Locomotion,10:56:31,00:00:06.1058757,00:03:00.9872387
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Inactive,10:56:37,00:00:38.8892104,00:03:39.8764491
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Locomotion,10:57:16,00:00:02.3596834,00:03:42.2361325
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Threat/display,10:57:18,00:00:04.8127266,00:03:47.0488591
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Inactive,10:57:23,00:00:02.1597170,00:03:49.2085761
mr,rh2759,Group,c420c7,2021-5-20,1.0.46.0,Cling,10:57:25,00:01:11.7814965,00:05:00.9900726

BehavCode, Occurrences, totalTime
Inactive,8,00:01:02.3937595
Threat/display,4,00:00:20.3708845
Sex/self/other,0,00:00:00
Locomotion,7,00:00:41.5321346
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:06.2658764
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:02.3996861
Cling,5,00:02:48.0277315
Selfbite,0,00:00:00
Other,0,00:00:00
