Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,rh2851
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,a272c15
Behavior Date:,2021-5-11
Behavior Time:,11:39 AM
Ethogram:,2021 bass.csv
Coding Began:,05/11/2021 11:39:47 AM
Coding Ended:,05/11/2021 11:44:57 AM
Session duration:,00:05:10
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2851,Pair,a272c15,2021-5-11,1.0.46.0,Inactive,11:39:47,00:01:36.0725961,00:01:36.0725961
ta,rh2851,Pair,a272c15,2021-5-11,1.0.46.0,Tactile/explore,11:41:23,00:00:20.4239219,00:01:56.4965180
ta,rh2851,Pair,a272c15,2021-5-11,1.0.46.0,Locomotion,11:41:44,00:00:02.8226674,00:01:59.3191854
ta,rh2851,Pair,a272c15,2021-5-11,1.0.46.0,Inactive,11:41:46,00:01:06.0531153,00:03:05.3723007
ta,rh2851,Pair,a272c15,2021-5-11,1.0.46.0,Tactile/explore,11:42:52,00:00:11.0895161,00:03:16.4618168
ta,rh2851,Pair,a272c15,2021-5-11,1.0.46.0,Inactive,11:43:04,00:01:52.5549127,00:05:09.0167295

BehavCode, Occurrences, totalTime
Inactive,3,00:04:34.6806241
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:02.8226674
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,2,00:00:31.5134380
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
