Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,rh3061
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,mr1527c3
Behavior Date:,2021-5-10
Behavior Time:,10:14 AM
Ethogram:,2021 bass.csv
Coding Began:,05/10/2021 10:15:02 AM
Coding Ended:,05/10/2021 10:20:05 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Inactive,10:15:02,00:00:07.5623235,00:00:07.5623235
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Locomotion,10:15:10,00:00:03.6203149,00:00:11.1826384
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Inactive,10:15:13,00:00:10.4102795,00:00:21.5929179
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Tactile/explore,10:15:24,00:00:11.7699652,00:00:33.3628831
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Groom,10:15:35,00:01:01.4630079,00:01:34.8258910
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Locomotion,10:16:37,00:00:01.9223029,00:01:36.7481939
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Threat/display,10:16:39,00:00:02.3923930,00:01:39.1405869
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Inactive,10:16:41,00:00:03.4663204,00:01:42.6069073
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Locomotion,10:16:45,00:00:02.7862431,00:01:45.3931504
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Groom,10:16:47,00:00:33.8893227,00:02:19.2824731
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Inactive,10:17:21,00:00:06.1936588,00:02:25.4761319
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Locomotion,10:17:28,00:00:06.2087221,00:02:31.6848540
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Inactive,10:17:34,00:00:11.7390920,00:02:43.4239460
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Groom,10:17:46,00:00:34.8020858,00:03:18.2260318
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Eat/drink,10:18:20,00:00:03.2614427,00:03:21.4874745
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Locomotion,10:18:24,00:00:05.4929715,00:03:26.9804460
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Eat/drink,10:18:29,00:00:05.7545848,00:03:32.7350308
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Locomotion,10:18:35,00:00:08.3826989,00:03:41.1177297
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Inactive,10:18:43,00:00:16.6396251,00:03:57.7573548
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Locomotion,10:19:00,00:00:04.4023751,00:04:02.1597299
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Inactive,10:19:04,00:00:10.4685548,00:04:12.6282847
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Eat/drink,10:19:15,00:00:06.9849659,00:04:19.6132506
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Locomotion,10:19:22,00:00:03.9718540,00:04:23.5851046
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Inactive,10:19:26,00:00:22.0909014,00:04:45.6760060
ta,rh3061,Pair,mr1527c3,2021-5-10,1.0.46.0,Social/play,10:19:48,00:00:15.6614896,00:05:01.3374956

BehavCode, Occurrences, totalTime
Inactive,8,00:01:28.5707555
Threat/display,1,00:00:02.3923930
Sex/self/other,0,00:00:00
Locomotion,8,00:00:36.7874825
Aggression,0,00:00:00
Eat/drink,3,00:00:16.0009934
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,1,00:00:11.7699652
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,3,00:02:10.1544164
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:15.6614896
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
