Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,rhbk65
Obs Site:,Blank Park Zoo
Obs Type:,Reliability
Housing:,Single
Room/Cage:,cb30c32
Behavior Date:,2021-5-13
Behavior Time:,10:58 AM
Ethogram:,2021 bass.csv
Coding Began:,05/13/2021 11:00:06 AM
Coding Ended:,05/13/2021 11:05:10 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Inactive,11:00:06,00:00:18.8468389,00:00:18.8468389
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Locomotion,11:00:25,00:00:11.9987093,00:00:30.8455482
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Pacing,11:00:37,00:00:27.9562241,00:00:58.8017723
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Inactive,11:01:05,00:00:22.6923715,00:01:21.4941438
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Locomotion,11:01:28,00:00:05.8724931,00:01:27.3666369
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Pacing,11:01:34,00:01:46.2348859,00:03:13.6015228
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Threat/display,11:03:20,00:00:01.1832406,00:03:14.7847634
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Locomotion,11:03:21,00:00:06.8234775,00:03:21.6082409
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Pacing,11:03:28,00:00:14.5525883,00:03:36.1608292
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Present,11:03:42,00:00:04.2765036,00:03:40.4373328
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Locomotion,11:03:47,00:00:05.2395132,00:03:45.6768460
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Pacing,11:03:52,00:01:08.4198468,00:04:54.0966928
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Locomotion,11:05:00,00:00:02.7076467,00:04:56.8043395
mr,rhbk65,Single,cb30c32,2021-5-13,1.0.46.0,Inactive,11:05:03,00:00:04.3750161,00:05:01.1793556

BehavCode, Occurrences, totalTime
Inactive,3,00:00:45.9142265
Threat/display,1,00:00:01.1832406
Sex/self/other,0,00:00:00
Locomotion,5,00:00:32.6418398
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,4,00:03:37.1635451
Present,1,00:00:04.2765036
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
