Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,
Indiv ID:,Cy0615
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-27
Behavior Time:,01:26 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/27/2018 13:27:24 PM
Coding Ended:,09/27/2018 13:32:28 PM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:27:24,00:00:06.9259092,00:00:06.9259092
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Yawn,01:27:31,00:00:02.6485301,00:00:09.5744393
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:27:34,00:00:02.5056443,00:00:12.0800836
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Lipsmack,01:27:36,00:00:02.9728617,00:00:15.0529453
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:27:39,00:00:08.9637137,00:00:24.0166590
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:27:48,00:00:05.1310804,00:00:29.1477394
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Yawn,01:27:53,00:00:03.4513492,00:00:32.5990886
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:27:57,00:00:01.6229529,00:00:34.2220415
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:27:58,00:00:06.7923981,00:00:41.0144396
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:28:05,00:00:20.0726245,00:01:01.0870641
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:28:25,00:00:12.5151933,00:01:13.6022574
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Yawn,01:28:38,00:00:02.3135949,00:01:15.9158523
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:28:40,00:00:18.6291731,00:01:34.5450254
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Lipsmack,01:28:59,00:00:02.6196973,00:01:37.1647227
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:29:01,00:00:08.0863643,00:01:45.2510870
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:29:09,00:00:02.1252085,00:01:47.3762955
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:29:11,00:00:08.1771974,00:01:55.5534929
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Yawn,01:29:20,00:00:01.7009371,00:01:57.2544300
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:29:21,00:00:12.1002912,00:02:09.3547212
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:29:33,00:00:02.5889578,00:02:11.9436790
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:29:36,00:00:02.5121511,00:02:14.4558301
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:29:39,00:00:05.3770827,00:02:19.8329128
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:29:44,00:00:07.3574192,00:02:27.1903320
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:29:51,00:00:02.4611017,00:02:29.6514337
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:29:54,00:00:01.9986403,00:02:31.6500740
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:29:56,00:00:11.6425645,00:02:43.2926385
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:30:07,00:00:09.2290248,00:02:52.5216633
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Yawn,01:30:17,00:00:02.3700852,00:02:54.8917485
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:30:19,00:00:12.9982143,00:03:07.8899628
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:30:32,00:00:06.1763653,00:03:14.0663281
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:30:38,00:00:09.1036179,00:03:23.1699460
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Tactile/explore,01:30:47,00:00:04.7148376,00:03:27.8847836
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:30:52,00:00:08.9798152,00:03:36.8645988
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Locomotion,01:31:01,00:00:10.2298049,00:03:47.0944037
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Self direct,01:31:11,00:00:35.8359956,00:04:22.9303993
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:31:47,00:00:26.4376890,00:04:49.3680883
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:32:13,00:00:05.0214144,00:04:54.3895027
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Inactive,01:32:18,00:00:01.9437259,00:04:56.3332286
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Scratch,01:32:20,00:00:04.6079842,00:05:00.9412128
Js,Cy0615,Sunny,,2018-9-27,1.0.37.0,Threat,01:32:25,00:00:01.1165369,00:05:02.0577497
