Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,
Indiv ID:,Cy722
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-25
Behavior Time:,02:13 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/25/2018 14:13:45 PM
Coding Ended:,09/25/2018 14:18:48 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:13:45,00:00:15.4066407,00:00:15.4066407
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Yawn,02:14:01,00:00:02.9535465,00:00:18.3601872
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:14:04,00:00:01.8105820,00:00:20.1707692
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Vocal,02:14:05,00:00:01.6386565,00:00:21.8094257
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:14:07,00:00:48.2208722,00:01:10.0302979
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Vocal,02:14:55,00:00:01.1175301,00:01:11.1478280
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:14:56,00:00:06.2896049,00:01:17.4374329
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Scratch,02:15:03,00:00:02.4598699,00:01:19.8973028
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:15:05,00:01:10.9571904,00:02:30.8544932
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Eat/drink,02:16:16,00:00:02.0522229,00:02:32.9067161
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Locomotion,02:16:18,00:00:03.8227296,00:02:36.7294457
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:16:22,00:00:05.7986285,00:02:42.5280742
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Yawn,02:16:28,00:00:02.4747049,00:02:45.0027791
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:16:30,00:01:13.3580332,00:03:58.3608123
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Locomotion,02:17:44,00:00:01.8833155,00:04:00.2441278
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:17:45,00:00:09.3704333,00:04:09.6145611
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Locomotion,02:17:55,00:00:01.7387608,00:04:11.3533219
Js,Cy722,Sunny,,2018-9-25,1.0.37.0,Inactive,02:17:57,00:00:49.6887723,00:05:01.0420942
