Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,
Indiv ID:,R02072
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2019-1-7
Behavior Time:,05:45 PM
Ethogram:,Gen behavior .csv
Coding Began:,01/07/2019 17:46:10 PM
Coding Ended:,01/07/2019 17:51:13 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:46:10,00:00:06.3918070,00:00:06.3918070
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Threat,05:46:17,00:00:04.7663307,00:00:11.1581377
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:46:21,00:00:10.1061140,00:00:21.2642517
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Threat,05:46:32,00:00:04.0721210,00:00:25.3363727
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:46:36,00:00:50.7948479,00:01:16.1312206
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Locomotion,05:47:26,00:00:05.0919602,00:01:21.2231808
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:47:32,00:00:03.8692111,00:01:25.0923919
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Locomotion,05:47:35,00:00:03.6095115,00:01:28.7019034
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:47:39,00:00:03.1098886,00:01:31.8117920
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Locomotion,05:47:42,00:00:04.3765717,00:01:36.1883637
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:47:46,00:00:28.8856618,00:02:05.0740255
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Locomotion,05:48:15,00:00:04.3597775,00:02:09.4338030
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:48:20,00:00:04.8156813,00:02:14.2494843
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Locomotion,05:48:25,00:00:01.5569820,00:02:15.8064663
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:48:26,00:00:00.8812826,00:02:16.6877489
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Scratch,05:48:27,00:00:05.7119019,00:02:22.3996508
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Self direct,05:48:33,00:00:03.1521635,00:02:25.5518143
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:48:36,00:01:25.7538076,00:03:51.3056219
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Threat,05:50:02,00:00:04.9041050,00:03:56.2097269
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:50:07,00:00:22.5271792,00:04:18.7369061
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Yawn,05:50:29,00:00:02.0360367,00:04:20.7729428
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:50:31,00:00:17.0792153,00:04:37.8521581
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Locomotion,05:50:48,00:00:03.0318489,00:04:40.8840070
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:50:51,00:00:05.9621371,00:04:46.8461441
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Yawn,05:50:57,00:00:01.5898265,00:04:48.4359706
Js,R02072,Sunny,,2019-1-7,1.0.37.0,Inactive,05:50:59,00:00:12.4717790,00:05:00.9077496
