Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,
Indiv ID:,R16073
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2019-1-23
Behavior Time:,11:58 AM
Ethogram:,Gen behavior .csv
Coding Began:,01/23/2019 12:00:47 PM
Coding Ended:,01/23/2019 12:05:51 PM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:00:47,00:00:05.9482246,00:00:05.9482246
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Swing/spin/flip,12:00:53,00:00:03.5629014,00:00:09.5111260
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:00:57,00:00:03.1841323,00:00:12.6952583
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Locomotion,12:01:00,00:00:03.0033337,00:00:15.6985920
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:01:03,00:00:03.0871593,00:00:18.7857513
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Eat/drink,12:01:06,00:00:12.7584268,00:00:31.5441781
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:01:19,00:00:52.2985243,00:01:23.8427024
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Locomotion,12:02:11,00:00:02.0838113,00:01:25.9265137
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:02:13,00:00:09.1100769,00:01:35.0365906
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Tactile/explore,12:02:22,00:00:04.0871679,00:01:39.1237585
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:02:26,00:00:06.8112895,00:01:45.9350480
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Tactile/explore,12:02:33,00:00:09.5098709,00:01:55.4449189
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:02:43,00:00:22.8799629,00:02:18.3248818
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Eat/drink,12:03:06,00:00:03.9430745,00:02:22.2679563
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Swing/spin/flip,12:03:09,00:00:13.0878761,00:02:35.3558324
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:03:23,00:00:33.1938114,00:03:08.5496438
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Swing/spin/flip,12:03:56,00:00:20.3397630,00:03:28.8894068
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Locomotion,12:04:16,00:00:02.7371254,00:03:31.6265322
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Swing/spin/flip,12:04:19,00:00:20.5206745,00:03:52.1472067
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Locomotion,12:04:39,00:00:02.9693309,00:03:55.1165376
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Swing/spin/flip,12:04:42,00:00:38.2793088,00:04:33.3958464
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:05:21,00:00:06.0421382,00:04:39.4379846
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Locomotion,12:05:27,00:00:03.6912233,00:04:43.1292079
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Swing/spin/flip,12:05:30,00:00:07.3238044,00:04:50.4530123
Js,R16073,Sunny,,2019-1-23,1.0.37.0,Inactive,12:05:38,00:00:10.8345066,00:05:01.2875189
