Focal Animal Recording
(c)Michael J. Renner

Observer:,JS
Study Code:,
Indiv ID:,Rh2426
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-29
Behavior Time:,08:18 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/29/2018 20:20:09 PM
Coding Ended:,09/29/2018 20:25:12 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:20:09,00:00:06.2051195,00:00:06.2051195
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Locomotion,08:20:16,00:00:04.8678855,00:00:11.0730050
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:20:21,00:00:13.4658915,00:00:24.5388965
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Locomotion,08:20:34,00:00:06.4720215,00:00:31.0109180
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:20:40,00:00:02.1370149,00:00:33.1479329
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Yawn,08:20:43,00:00:01.4749827,00:00:34.6229156
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:20:44,00:00:11.8609669,00:00:46.4838825
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Yawn,08:20:56,00:00:02.0092540,00:00:48.4931365
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:20:58,00:00:16.2691620,00:01:04.7622985
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Yawn,08:21:14,00:00:02.5064447,00:01:07.2687432
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:21:17,00:00:13.3188660,00:01:20.5876092
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Threat,08:21:30,00:00:02.8693014,00:01:23.4569106
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Locomotion,08:21:33,00:00:00.7579393,00:01:24.2148499
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:21:34,00:00:04.7854203,00:01:29.0002702
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Yawn,08:21:38,00:00:02.0013028,00:01:31.0015730
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:21:40,00:00:07.3398921,00:01:38.3414651
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Locomotion,08:21:48,00:00:09.6152020,00:01:47.9566671
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:21:57,00:00:03.6081574,00:01:51.5648245
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Yawn,08:22:01,00:00:01.9962011,00:01:53.5610256
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:22:03,00:00:08.6902002,00:02:02.2512258
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Yawn,08:22:12,00:00:01.3419366,00:02:03.5931624
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:22:13,00:00:15.0251585,00:02:18.6183209
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Locomotion,08:22:28,00:00:04.9548438,00:02:23.5731647
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:22:33,00:00:06.9183554,00:02:30.4915201
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Yawn,08:22:40,00:00:01.7877102,00:02:32.2792303
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:22:42,00:00:05.4949214,00:02:37.7741517
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Locomotion,08:22:47,00:00:06.5253822,00:02:44.2995339
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:22:54,00:00:06.7243254,00:02:51.0238593
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Locomotion,08:23:00,00:00:08.2976095,00:02:59.3214688
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:23:09,00:00:05.9302989,00:03:05.2517677
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Groom,08:23:15,00:00:02.7771918,00:03:08.0289595
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:23:17,00:00:01.8844607,00:03:09.9134202
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Scratch,08:23:19,00:00:02.9982221,00:03:12.9116423
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:23:22,00:00:05.0858467,00:03:17.9974890
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Threat,08:23:27,00:00:01.8642282,00:03:19.8617172
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Locomotion,08:23:29,00:00:02.6087419,00:03:22.4704591
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:23:32,00:00:06.9422823,00:03:29.4127414
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Yawn,08:23:39,00:00:01.9524216,00:03:31.3651630
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:23:41,00:00:15.8566517,00:03:47.2218147
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Threat,08:23:57,00:00:02.1412583,00:03:49.3630730
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Inactive,08:23:59,00:00:05.8209400,00:03:55.1840130
JS,Rh2426,Sunny,,2018-9-29,1.0.37.0,Tactile/explore,08:24:05,00:00:09.8375443,00:04:05.0215573
