Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,
Indiv ID:,Rh2493
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2019-1-7
Behavior Time:,06:03 PM
Ethogram:,Gen behavior .csv
Coding Began:,01/07/2019 18:04:34 PM
Coding Ended:,01/07/2019 18:09:37 PM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:04:34,00:00:04.6998033,00:00:04.6998033
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Groom,06:04:39,00:00:03.3653059,00:00:08.0651092
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:04:42,00:00:34.4033260,00:00:42.4684352
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Vocal,06:05:17,00:00:01.6030358,00:00:44.0714710
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:05:18,00:01:19.6296991,00:02:03.7011701
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Vocal,06:06:38,00:00:01.7880508,00:02:05.4892209
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:06:40,00:00:14.9790230,00:02:20.4682439
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Self direct,06:06:55,00:00:06.1098247,00:02:26.5780686
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:07:01,00:00:52.7919357,00:03:19.3700043
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Threat,06:07:54,00:00:06.2111791,00:03:25.5811834
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:08:00,00:00:03.2674723,00:03:28.8486557
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Threat,06:08:03,00:00:03.0599508,00:03:31.9086065
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Yawn,06:08:06,00:00:01.9555854,00:03:33.8641919
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:08:08,00:00:06.0961168,00:03:39.9603087
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Yawn,06:08:14,00:00:02.0987552,00:03:42.0590639
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:08:16,00:00:04.6400162,00:03:46.6990801
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Vocal,06:08:21,00:00:01.1448452,00:03:47.8439253
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:08:22,00:00:08.8454791,00:03:56.6894044
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Threat,06:08:31,00:00:01.9561586,00:03:58.6455630
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Yawn,06:08:33,00:00:01.8565167,00:04:00.5020797
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:08:35,00:00:16.2325002,00:04:16.7345799
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Lipsmack,06:08:51,00:00:02.9558813,00:04:19.6904612
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Yawn,06:08:54,00:00:01.8121483,00:04:21.5026095
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:08:56,00:00:25.4766694,00:04:46.9792789
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Scratch,06:09:21,00:00:02.1727494,00:04:49.1520283
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:09:23,00:00:02.9006368,00:04:52.0526651
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Locomotion,06:09:26,00:00:01.6850018,00:04:53.7376669
Js,Rh2493,Sunny,,2019-1-7,1.0.37.0,Inactive,06:09:28,00:00:08.0674077,00:05:01.8050746
