Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,
Indiv ID:,Rhbk68
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2019-1-24
Behavior Time:,10:54 AM
Ethogram:,Gen behavior .csv
Coding Began:,01/24/2019 10:56:21 AM
Coding Ended:,01/24/2019 11:01:27 AM
Session duration:,00:05:05
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Tactile/explore,10:56:21,00:00:03.9594788,00:00:03.9594788
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,10:56:25,00:00:05.6609844,00:00:09.6204632
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,10:56:31,00:00:03.5783505,00:00:13.1988137
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,10:56:35,00:00:02.8436297,00:00:16.0424434
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,10:56:38,00:00:02.4154385,00:00:18.4578819
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Eat/drink,10:56:40,00:00:19.5678221,00:00:38.0257040
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,10:57:00,00:00:04.6594776,00:00:42.6851816
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,10:57:04,00:00:03.1668118,00:00:45.8519934
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,10:57:07,00:00:02.8980075,00:00:48.7500009
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,10:57:10,00:00:04.4184466,00:00:53.1684475
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Tactile/explore,10:57:15,00:00:32.9309380,00:01:26.0993855
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,10:57:48,00:00:25.5166317,00:01:51.6160172
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,10:58:13,00:00:04.2784111,00:01:55.8944283
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Eat/drink,10:58:17,00:00:34.8775147,00:02:30.7719430
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,10:58:52,00:00:36.5880404,00:03:07.3599834
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Eat/drink,10:59:29,00:00:03.0681730,00:03:10.4281564
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,10:59:32,00:00:02.4838078,00:03:12.9119642
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,10:59:34,00:00:14.1998932,00:03:27.1118574
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Tactile/explore,10:59:49,00:00:05.5445907,00:03:32.6564481
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,10:59:54,00:00:04.7885758,00:03:37.4450239
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Tactile/explore,10:59:59,00:00:06.6243616,00:03:44.0693855
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,11:00:06,00:00:06.9416086,00:03:51.0109941
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,11:00:12,00:00:43.6457285,00:04:34.6567226
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,11:00:56,00:00:06.0980230,00:04:40.7547456
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Tactile/explore,11:01:02,00:00:03.0959742,00:04:43.8507198
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Inactive,11:01:05,00:00:03.5800700,00:04:47.4307898
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Locomotion,11:01:09,00:00:09.2566667,00:04:56.6874565
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Other,11:01:18,00:00:02.6407007,00:04:59.3281572
Js,Rhbk68,Sunny,,2019-1-24,1.0.37.0,Pacing,11:01:21,00:00:05.1283245,00:05:04.4564817
