Focal Animal Recording
(c)Michael J. Renner

Observer:,JS
Study Code:,
Indiv ID:,r98053
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-30
Behavior Time:,07:50 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/30/2018 19:51:37 PM
Coding Ended:,09/30/2018 19:56:39 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:51:37,00:00:51.1835941,00:00:51.1835941
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Tactile/explore,07:52:28,00:00:08.9051241,00:01:00.0887182
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:52:37,00:00:15.9625189,00:01:16.0512371
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Tactile/explore,07:52:53,00:00:02.8028154,00:01:18.8540525
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:52:55,00:01:28.2896057,00:02:47.1436582
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Locomotion,07:54:24,00:00:04.6399245,00:02:51.7835827
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:54:28,00:00:28.5815866,00:03:20.3651693
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Tactile/explore,07:54:57,00:00:06.9420319,00:03:27.3072012
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:55:04,00:00:05.4086887,00:03:32.7158899
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Tactile/explore,07:55:09,00:00:06.8929758,00:03:39.6088657
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Eat/drink,07:55:16,00:00:01.9178014,00:03:41.5266671
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:55:18,00:00:28.5723988,00:04:10.0990659
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Tactile/explore,07:55:47,00:00:08.1702141,00:04:18.2692800
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:55:55,00:00:03.7277659,00:04:21.9970459
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Self direct,07:55:59,00:00:07.8571304,00:04:29.8541763
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:56:06,00:00:13.9906045,00:04:43.8447808
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Tactile/explore,07:56:20,00:00:07.7422495,00:04:51.5870303
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Scratch,07:56:28,00:00:02.3484876,00:04:53.9355179
JS,r98053,Sunny,,2018-9-30,1.0.37.0,Inactive,07:56:31,00:00:07.2492126,00:05:01.1847305
