Focal Animal Recording
(c)Michael J. Renner

Observer:,JS
Study Code:,
Indiv ID:,rhbk94
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-3
Behavior Time:,07:41 PM
Ethogram:,Gen behavior .csv
Coding Began:,10/08/2018 20:47:38 PM
Coding Ended:,10/08/2018 20:52:42 PM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Inactive,08:47:38,00:00:35.6779488,00:00:35.6779488
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Other,08:48:14,00:00:04.1908847,00:00:39.8688335
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Present,08:48:18,00:00:04.0256321,00:00:43.8944656
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Inactive,08:48:22,00:00:12.6078979,00:00:56.5023635
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Eat/drink,08:48:35,00:00:05.3118506,00:01:01.8142141
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Scratch,08:48:40,00:00:02.6760025,00:01:04.4902166
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Inactive,08:48:43,00:00:05.7426435,00:01:10.2328601
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Eat/drink,08:48:48,00:00:10.3373014,00:01:20.5701615
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Tactile/explore,08:48:59,00:00:03.3312832,00:01:23.9014447
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Inactive,08:49:02,00:00:02.4354813,00:01:26.3369260
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Eat/drink,08:49:04,00:00:20.3225860,00:01:46.6595120
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Inactive,08:49:25,00:00:02.8134503,00:01:49.4729623
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Tactile/explore,08:49:28,00:00:04.9378171,00:01:54.4107794
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Scratch,08:49:32,00:00:05.3515888,00:01:59.7623682
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Inactive,08:49:38,00:00:09.9868092,00:02:09.7491774
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Eat/drink,08:49:48,00:00:15.8993760,00:02:25.6485534
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Tactile/explore,08:50:04,00:00:04.0814042,00:02:29.7299576
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Eat/drink,08:50:08,00:00:08.2960045,00:02:38.0259621
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Inactive,08:50:16,00:00:01.2134127,00:02:39.2393748
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Present,08:50:17,00:00:03.7221785,00:02:42.9615533
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Scratch,08:50:21,00:00:09.2067764,00:02:52.1683297
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Eat/drink,08:50:30,00:00:34.2619163,00:03:26.4302460
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Inactive,08:51:05,00:00:15.8992557,00:03:42.3295017
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Eat/drink,08:51:20,00:00:27.2848717,00:04:09.6143734
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Scratch,08:51:48,00:00:09.9354597,00:04:19.5498331
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Self direct,08:51:58,00:00:02.4487709,00:04:21.9986040
JS,rhbk94,Sunny,,2018-10-3,1.0.37.0,Eat/drink,08:52:00,00:00:39.1071779,00:05:01.1057819
