Focal Animal Recording
(c)Michael J. Renner

Observer:,Pjp
Study Code:,Ass
Indiv ID:,R81074
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-9-26
Behavior Time:,02:27 PM
Ethogram:,Gen behavior .csv
Coding Began:,09/26/2018 14:28:01 PM
Coding Ended:,09/26/2018 14:33:07 PM
Session duration:,00:05:06
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Pjp,R81074,Sunny,,2018-9-26,1.0.37.0,Inactive,02:28:01,00:05:03.5845367,00:05:03.5845367
