Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs
Indiv ID:,R04050
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-1-30
Behavior Time:,11:40 AM
Ethogram:,2020 sas.csv
Coding Began:,01/30/2020 11:43:46 AM
Coding Ended:,01/30/2020 11:48:48 AM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Locomotion,11:43:46,00:00:05.0821539,00:00:05.0821539
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Scratch,11:43:51,00:00:06.3746190,00:00:11.4567729
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Inactive,11:43:58,00:00:30.1373331,00:00:41.5941060
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Locomotion,11:44:28,00:00:14.1317257,00:00:55.7258317
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Pacing,11:44:42,00:00:46.7960535,00:01:42.5218852
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Inactive,11:45:29,00:00:42.4514231,00:02:24.9733083
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Locomotion,11:46:11,00:00:08.0900283,00:02:33.0633366
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Pacing,11:46:19,00:00:08.9898933,00:02:42.0532299
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Inactive,11:46:28,00:00:04.9668355,00:02:47.0200654
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Scratch,11:46:33,00:00:03.0878103,00:02:50.1078757
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Inactive,11:46:36,00:00:16.3523839,00:03:06.4602596
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Locomotion,11:46:53,00:00:10.3647001,00:03:16.8249597
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Inactive,11:47:03,00:00:31.7061063,00:03:48.5310660
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Locomotion,11:47:35,00:00:06.4100776,00:03:54.9411436
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Groom,11:47:41,00:00:24.5865580,00:04:19.5277016
Bnp,R04050,Sunny,,2020-1-30,1.0.37.0,Inactive,11:48:06,00:00:41.2537502,00:05:00.7814518
