Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs
Indiv ID:,R11046
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-1-16
Behavior Time:,01:45 PM
Ethogram:,2020 sas.csv
Coding Began:,01/16/2020 13:48:00 PM
Coding Ended:,01/16/2020 13:53:01 PM
Session duration:,00:05:01
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Locomotion,01:48:00,00:00:07.5069557,00:00:07.5069557
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Pacing,01:48:07,00:00:13.0976228,00:00:20.6045785
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Threat,01:48:20,00:00:02.9959749,00:00:23.6005534
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Locomotion,01:48:23,00:00:02.5862109,00:00:26.1867643
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Inactive,01:48:26,00:00:04.3639309,00:00:30.5506952
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Tactile/explore,01:48:30,00:00:04.3651114,00:00:34.9158066
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Locomotion,01:48:35,00:00:06.1418721,00:00:41.0576787
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Pacing,01:48:41,00:00:08.7794773,00:00:49.8371560
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Inactive,01:48:50,00:00:09.9249328,00:00:59.7620888
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Tactile/explore,01:49:00,00:00:15.9773754,00:01:15.7394642
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Locomotion,01:49:15,00:00:09.8397638,00:01:25.5792280
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Pacing,01:49:25,00:00:07.3513194,00:01:32.9305474
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Tactile/explore,01:49:33,00:00:05.4038856,00:01:38.3344330
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Locomotion,01:49:38,00:00:05.7504686,00:01:44.0849016
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Inactive,01:49:44,00:00:10.9039653,00:01:54.9888669
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Tactile/explore,01:49:55,00:00:07.6340010,00:02:02.6228679
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Locomotion,01:50:02,00:00:06.3965145,00:02:09.0193824
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Pacing,01:50:09,00:00:11.1093532,00:02:20.1287356
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Inactive,01:50:20,00:00:11.8906440,00:02:32.0193796
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Tactile/explore,01:50:32,00:00:17.5384342,00:02:49.5578138
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Locomotion,01:50:49,00:00:02.6684280,00:02:52.2262418
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Inactive,01:50:52,00:00:16.5097783,00:03:08.7360201
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Scratch,01:51:08,00:00:03.3278762,00:03:12.0638963
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Inactive,01:51:12,00:00:05.0391824,00:03:17.1030787
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Tactile/explore,01:51:17,00:00:06.4275940,00:03:23.5306727
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Locomotion,01:51:23,00:00:09.3340824,00:03:32.8647551
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Inactive,01:51:33,00:00:27.2412763,00:04:00.1060314
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Yawn,01:52:00,00:00:03.6412377,00:04:03.7472691
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Groom,01:52:03,00:00:07.2000992,00:04:10.9473683
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Inactive,01:52:11,00:00:38.5652859,00:04:49.5126542
Bnp,R11046,Sunny,,2020-1-16,1.0.37.0,Tactile/explore,01:52:49,00:00:10.6597242,00:05:00.1723784
