Focal Animal Recording
(c)Michael J. Renner

Observer:,Ta
Study Code:,SAs
Indiv ID:,Rh2430
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-6
Behavior Time:,10:57 AM
Ethogram:,2020 sas.csv
Coding Began:,02/06/2020 10:57:52 AM
Coding Ended:,02/06/2020 11:03:26 AM
Session duration:,00:05:33
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Eat/drink,10:57:52,00:00:08.8743832,00:00:08.8743832
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Locomotion,10:58:01,00:00:04.8144459,00:00:13.6888291
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,10:58:06,00:00:14.2435499,00:00:27.9323790
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Yawn,10:58:20,00:00:01.5906564,00:00:29.5230354
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,10:58:22,00:00:31.6700054,00:01:01.1930408
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Yawn,10:58:53,00:00:01.2395227,00:01:02.4325635
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,10:58:55,00:00:11.8968173,00:01:14.3293808
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Tactile/explore,10:59:07,00:00:09.5092529,00:01:23.8386337
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,10:59:16,00:00:19.3184437,00:01:43.1570774
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Yawn,10:59:35,00:00:02.5130148,00:01:45.6700922
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,10:59:38,00:00:34.6133181,00:02:20.2834103
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Yawn,11:00:13,00:00:02.1607845,00:02:22.4441948
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,11:00:15,00:00:01.1302549,00:02:23.5744497
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Locomotion,11:00:16,00:00:07.0180094,00:02:30.5924591
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Pacing,11:00:23,00:00:37.1429969,00:03:07.7354560
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,11:01:00,00:00:13.4162708,00:03:21.1517268
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Tactile/explore,11:01:13,00:00:04.8677042,00:03:26.0194310
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,11:01:18,00:00:01.8896598,00:03:27.9090908
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Locomotion,11:01:20,00:00:04.7172489,00:03:32.6263397
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,11:01:25,00:00:18.9185460,00:03:51.5448857
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Locomotion,11:01:44,00:00:02.3737549,00:03:53.9186406
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,11:01:46,00:00:47.2233636,00:04:41.1420042
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Tactile/explore,11:02:33,00:00:05.2331345,00:04:46.3751387
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Inactive,11:02:39,00:00:02.6319043,00:04:49.0070430
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Locomotion,11:02:41,00:00:06.1643374,00:04:55.1713804
Ta,Rh2430,Sunny,,2020-2-6,1.0.37.0,Pacing,11:02:47,00:00:35.0686237,00:05:30.2400041
