Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs
Indiv ID:,Rh2887
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-6
Behavior Time:,10:24 AM
Ethogram:,2020 sas.csv
Coding Began:,02/06/2020 10:25:02 AM
Coding Ended:,02/06/2020 10:30:06 AM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:25:02,00:00:26.8084895,00:00:26.8084895
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Yawn,10:25:29,00:00:01.7924541,00:00:28.6009436
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:25:31,00:00:12.8285513,00:00:41.4294949
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Yawn,10:25:44,00:00:01.3907276,00:00:42.8202225
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:25:45,00:00:09.8764732,00:00:52.6966957
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Groom,10:25:55,00:00:03.5940037,00:00:56.2906994
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:25:59,00:00:02.1119182,00:00:58.4026176
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Yawn,10:26:01,00:00:07.0310097,00:01:05.4336273
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:26:08,00:00:06.3897995,00:01:11.8234268
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Yawn,10:26:14,00:00:07.3930892,00:01:19.2165160
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:26:22,00:00:07.1143191,00:01:26.3308351
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Scratch,10:26:29,00:00:06.2848638,00:01:32.6156989
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Locomotion,10:26:35,00:00:06.7723789,00:01:39.3880778
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Tactile/explore,10:26:42,00:00:02.9102720,00:01:42.2983498
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Locomotion,10:26:45,00:00:05.8177492,00:01:48.1160990
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Tactile/explore,10:26:51,00:00:01.5038120,00:01:49.6199110
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Scratch,10:26:52,00:00:05.9302584,00:01:55.5501694
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Locomotion,10:26:58,00:00:03.6141345,00:01:59.1643039
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:27:02,00:00:10.9471343,00:02:10.1114382
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Yawn,10:27:13,00:00:02.4601015,00:02:12.5715397
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:27:15,00:00:22.8791897,00:02:35.4507294
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Yawn,10:27:38,00:00:03.2449095,00:02:38.6956389
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:27:41,00:01:37.2253861,00:04:15.9210250
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Yawn,10:29:18,00:00:01.7194427,00:04:17.6404677
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:29:20,00:00:37.1912175,00:04:54.8316852
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Yawn,10:29:57,00:00:01.7774272,00:04:56.6091124
Bnp,Rh2887,Sunny,,2020-2-6,1.0.37.0,Inactive,10:29:59,00:00:05.6021996,00:05:02.2113120
