Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,SAs
Indiv ID:,r13001
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-20
Behavior Time:,09:56 AM
Ethogram:,2020 sas.csv
Coding Began:,02/20/2020 10:15:58 AM
Coding Ended:,02/20/2020 10:21:03 AM
Session duration:,00:05:05
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Inactive,10:15:58,00:01:07.7711596,00:01:07.7711596
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Scratch,10:17:06,00:00:03.4283286,00:01:11.1994882
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Inactive,10:17:09,00:00:33.9485409,00:01:45.1480291
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Yawn,10:17:43,00:00:02.0049545,00:01:47.1529836
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Inactive,10:17:45,00:01:17.3614023,00:03:04.5143859
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Scratch,10:19:02,00:00:04.3344815,00:03:08.8488674
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Groom,10:19:07,00:00:03.6748464,00:03:12.5237138
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Inactive,10:19:10,00:00:13.5923761,00:03:26.1160899
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Scratch,10:19:24,00:00:03.2245202,00:03:29.3406101
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Inactive,10:19:27,00:00:04.2194079,00:03:33.5600180
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Locomotion,10:19:31,00:00:02.6002113,00:03:36.1602293
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Inactive,10:19:34,00:00:46.2726939,00:04:22.4329232
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Yawn,10:20:20,00:00:01.4258880,00:04:23.8588112
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Inactive,10:20:22,00:00:25.9182615,00:04:49.7770727
ta,r13001,Sunny,,2020-2-20,1.0.37.0,Tactile/explore,10:20:48,00:00:13.9405484,00:05:03.7176211
