Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,SAs
Indiv ID:,rhbk88
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-19
Behavior Time:,11:17 AM
Ethogram:,2020 sas.csv
Coding Began:,02/19/2020 11:18:29 AM
Coding Ended:,02/19/2020 11:23:35 AM
Session duration:,00:05:06
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Eat/drink,11:18:29,00:00:03.3294020,00:00:03.3294020
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Locomotion,11:18:32,00:00:04.4518764,00:00:07.7812784
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Pacing,11:18:37,00:00:09.2332700,00:00:17.0145484
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Inactive,11:18:46,00:00:07.0979091,00:00:24.1124575
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Locomotion,11:18:53,00:00:05.1687722,00:00:29.2812297
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Pacing,11:18:58,00:00:12.4012735,00:00:41.6825032
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Inactive,11:19:11,00:00:01.4921039,00:00:43.1746071
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Lipsmack,11:19:12,00:00:02.5999539,00:00:45.7745610
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Locomotion,11:19:15,00:00:04.6324542,00:00:50.4070152
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Pacing,11:19:20,00:00:07.8915719,00:00:58.2985871
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Inactive,11:19:27,00:00:03.6158051,00:01:01.9143922
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Tactile/explore,11:19:31,00:00:05.3274577,00:01:07.2418499
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Locomotion,11:19:36,00:00:04.3551393,00:01:11.5969892
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Pacing,11:19:41,00:00:08.6331718,00:01:20.2301610
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Jumping,11:19:49,00:00:01.9654658,00:01:22.1956268
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Inactive,11:19:51,00:00:07.8830354,00:01:30.0786622
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Lipsmack,11:19:59,00:00:02.7718893,00:01:32.8505515
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Tactile/explore,11:20:02,00:00:20.5207697,00:01:53.3713212
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Scratch,11:20:23,00:00:07.0632455,00:02:00.4345667
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Lipsmack,11:20:30,00:00:01.9293474,00:02:02.3639141
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Locomotion,11:20:32,00:00:03.4356625,00:02:05.7995766
ta,rhbk88,Sunny,,2020-2-19,1.0.37.0,Inactive,11:20:35,00:00:14.4908986,00:02:20.2904752
