Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs2020
Indiv ID:,Rh2854
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-28
Behavior Time:,11:33 AM
Ethogram:,2020 sas.csv
Coding Began:,02/28/2020 11:33:32 AM
Coding Ended:,02/28/2020 11:38:34 AM
Session duration:,00:05:01
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Inactive,11:33:32,00:00:22.6531459,00:00:22.6531459
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Locomotion,11:33:55,00:00:02.2854015,00:00:24.9385474
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Inactive,11:33:57,00:00:36.5217013,00:01:01.4602487
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Scratch,11:34:34,00:00:02.5988942,00:01:04.0591429
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Inactive,11:34:36,00:00:28.4039148,00:01:32.4630577
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Scratch,11:35:05,00:00:11.6617392,00:01:44.1247969
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Display,11:35:17,00:00:02.0889984,00:01:46.2137953
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Inactive,11:35:19,00:01:35.5216160,00:03:21.7354113
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Tactile/explore,11:36:54,00:00:52.9827493,00:04:14.7181606
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Inactive,11:37:47,00:00:05.0741101,00:04:19.7922707
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Rock,11:37:52,00:00:13.8580662,00:04:33.6503369
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Inactive,11:38:06,00:00:06.1056404,00:04:39.7559773
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Scratch,11:38:12,00:00:06.8390057,00:04:46.5949830
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Lipsmack,11:38:19,00:00:03.2039937,00:04:49.7989767
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Scratch,11:38:22,00:00:07.5125312,00:04:57.3115079
Bnp,Rh2854,Sunny,,2020-2-28,1.0.37.0,Inactive,11:38:30,00:00:03.2676794,00:05:00.5791873
