Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,Sas
Indiv ID:,rh2866
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-18
Behavior Time:,12:13 PM
Ethogram:,2020 sas.csv
Coding Began:,02/18/2020 12:17:15 PM
Coding Ended:,02/18/2020 12:22:24 PM
Session duration:,00:05:08
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Tactile/explore,12:17:15,00:00:13.3927890,00:00:13.3927890
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Display,12:17:28,00:00:03.3036681,00:00:16.6964571
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Locomotion,12:17:31,00:00:03.4410764,00:00:20.1375335
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:17:35,00:00:11.9494390,00:00:32.0869725
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Tactile/explore,12:17:47,00:00:16.7301080,00:00:48.8170805
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:18:04,00:00:20.2619110,00:01:09.0789915
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Tactile/explore,12:18:24,00:00:07.1211652,00:01:16.2001567
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Display,12:18:31,00:00:02.5725134,00:01:18.7726701
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Threat,12:18:34,00:00:04.4434210,00:01:23.2160911
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Yawn,12:18:38,00:00:02.6834355,00:01:25.8995266
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:18:41,00:00:04.4478934,00:01:30.3474200
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Yawn,12:18:45,00:00:02.1396854,00:01:32.4871054
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:18:47,00:00:04.4992885,00:01:36.9863939
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Tactile/explore,12:18:52,00:00:12.1898068,00:01:49.1762007
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:19:04,00:00:05.4067116,00:01:54.5829123
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Yawn,12:19:09,00:00:02.8713102,00:01:57.4542225
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:19:12,00:00:09.3983422,00:02:06.8525647
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Yawn,12:19:22,00:00:02.3468454,00:02:09.1994101
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:19:24,00:00:08.2405186,00:02:17.4399287
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Tactile/explore,12:19:32,00:00:03.2609146,00:02:20.7008433
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Yawn,12:19:35,00:00:02.3596693,00:02:23.0605126
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Tactile/explore,12:19:38,00:00:08.5271273,00:02:31.5876399
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Yawn,12:19:46,00:00:02.9080119,00:02:34.4956518
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:19:49,00:00:40.2935550,00:03:14.7892068
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Tactile/explore,12:20:30,00:00:18.9415142,00:03:33.7307210
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:20:48,00:00:07.7074881,00:03:41.4382091
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Yawn,12:20:56,00:00:02.5752783,00:03:44.0134874
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:20:59,00:00:26.4094736,00:04:10.4229610
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Threat,12:21:25,00:00:02.3328630,00:04:12.7558240
ta,rh2866,Sunny,,2020-2-18,1.0.37.0,Inactive,12:21:27,00:00:54.5926072,00:05:07.3484312
