Focal Animal Recording
(c)Michael J. Renner

Observer:,MR
Study Code:,Sass
Indiv ID:,Cy0421
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-11-7
Behavior Time:,11:22 AM
Ethogram:,Gen behavior .csv
Coding Began:,11/07/2018 11:23:24 AM
Coding Ended:,11/07/2018 11:28:27 AM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:23:24,00:00:11.0335904,00:00:11.0335904
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Threat,11:23:35,00:00:12.0196977,00:00:23.0532881
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Lipsmack,11:23:47,00:00:02.3543257,00:00:25.4076138
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Threat,11:23:49,00:00:06.2701973,00:00:31.6778111
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:23:56,00:00:16.2287374,00:00:47.9065485
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Lipsmack,11:24:12,00:00:47.5523082,00:01:35.4588567
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:24:59,00:00:03.8010021,00:01:39.2598588
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Other,11:25:03,00:00:04.1551423,00:01:43.4150011
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:25:07,00:00:05.7673491,00:01:49.1823502
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Other,11:25:13,00:00:02.2520364,00:01:51.4343866
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:25:15,00:00:10.5234887,00:02:01.9578753
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Yawn,11:25:26,00:00:03.1144690,00:02:05.0723443
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:25:29,00:00:03.2226331,00:02:08.2949774
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Other,11:25:32,00:00:05.0184560,00:02:13.3134334
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Rock,11:25:37,00:00:04.9926718,00:02:18.3061052
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Threat,11:25:42,00:00:02.6708704,00:02:20.9769756
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:25:45,00:00:07.1166131,00:02:28.0935887
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Tactile/explore,11:25:52,00:00:16.0789081,00:02:44.1724968
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:26:08,00:00:04.9175405,00:02:49.0900373
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Yawn,11:26:13,00:00:02.6083924,00:02:51.6984297
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:26:16,00:00:07.0000711,00:02:58.6985008
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Rock,11:26:23,00:00:12.3609400,00:03:11.0594408
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:26:35,00:00:02.6764144,00:03:13.7358552
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Threat,11:26:38,00:00:03.6030311,00:03:17.3388863
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:26:41,00:00:11.4900349,00:03:28.8289212
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Scratch,11:26:53,00:00:06.2243398,00:03:35.0532610
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:26:59,00:00:12.3695291,00:03:47.4227901
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Yawn,11:27:11,00:00:03.0945672,00:03:50.5173573
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:27:15,00:00:15.8723900,00:04:06.3897473
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Scratch,11:27:30,00:00:04.2063410,00:04:10.5960883
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Groom,11:27:35,00:00:06.3910551,00:04:16.9871434
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:27:41,00:00:04.3392867,00:04:21.3264301
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Rock,11:27:45,00:00:05.5174199,00:04:26.8438500
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:27:51,00:00:06.9088832,00:04:33.7527332
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Other,11:27:58,00:00:04.7735681,00:04:38.5263013
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:28:03,00:00:02.5179433,00:04:41.0442446
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Yawn,11:28:05,00:00:02.5347388,00:04:43.5789834
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Inactive,11:28:08,00:00:06.4018452,00:04:49.9808286
MR,Cy0421,Sunny,,2018-11-7,1.0.37.0,Groom,11:28:14,00:00:11.3167018,00:05:01.2975304
