Focal Animal Recording
(c)Michael J. Renner

Observer:,MR
Study Code:,Sass
Indiv ID:,Cy0948
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-8-28
Behavior Time:,11:33 AM
Ethogram:,Gen behavior .csv
Coding Began:,08/28/2018 11:34:27 AM
Coding Ended:,08/28/2018 11:39:36 AM
Session duration:,00:05:08
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:34:27,00:00:16.9272780,00:00:16.9272780
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Locomotion,11:34:44,00:00:05.3120152,00:00:22.2392932
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:34:49,00:00:31.9829683,00:00:54.2222615
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Locomotion,11:35:21,00:00:05.1074233,00:00:59.3296848
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:35:26,00:00:31.3283343,00:01:30.6580191
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Groom,11:35:58,00:00:25.4907737,00:01:56.1487928
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Threat,11:36:23,00:00:02.6879095,00:01:58.8367023
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Groom,11:36:26,00:00:04.3518472,00:02:03.1885495
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:36:30,00:00:07.9878915,00:02:11.1764410
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Groom,11:36:38,00:00:07.3220202,00:02:18.4984612
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:36:46,00:00:19.8862462,00:02:38.3847074
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Groom,11:37:05,00:00:14.8978996,00:02:53.2826070
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:37:20,00:00:04.0352097,00:02:57.3178167
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Groom,11:37:24,00:00:17.2914484,00:03:14.6092651
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:37:42,00:00:45.5270779,00:04:00.1363430
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Groom,11:38:27,00:00:08.6252052,00:04:08.7615482
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:38:36,00:00:06.5541749,00:04:15.3157231
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Groom,11:38:42,00:00:10.1559546,00:04:25.4716777
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Locomotion,11:38:53,00:00:04.7597809,00:04:30.2314586
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:38:57,00:00:09.8733243,00:04:40.1047829
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Locomotion,11:39:07,00:00:06.1622325,00:04:46.2670154
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:39:13,00:00:07.7980634,00:04:54.0650788
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Groom,11:39:21,00:00:07.3860322,00:05:01.4511110
MR,Cy0948,Sunny,,2018-8-28,1.0.37.0,Inactive,11:39:29,00:00:05.6254021,00:05:07.0765131
