Focal Animal Recording
(c)Michael J. Renner

Observer:,MR
Study Code:,Sass
Indiv ID:,R10004
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-11-7
Behavior Time:,11:34 AM
Ethogram:,Gen behavior .csv
Coding Began:,11/07/2018 11:35:27 AM
Coding Ended:,11/07/2018 11:40:33 AM
Session duration:,00:05:06
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:35:27,00:00:07.4833993,00:00:07.4833993
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:35:34,00:00:09.3475110,00:00:16.8309103
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Pacing,11:35:44,00:00:35.3940596,00:00:52.2249699
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:36:19,00:00:32.5288827,00:01:24.7538526
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:36:52,00:00:03.3843512,00:01:28.1382038
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:36:55,00:00:24.0901006,00:01:52.2283044
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:37:19,00:00:09.0230998,00:02:01.2514042
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:37:28,00:00:23.2338704,00:02:24.4852746
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Threat,11:37:51,00:00:07.8080623,00:02:32.2933369
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:37:59,00:00:07.2557449,00:02:39.5490818
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Threat,11:38:06,00:00:02.8203762,00:02:42.3694580
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:38:09,00:00:11.7591441,00:02:54.1286021
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Threat,11:38:21,00:00:06.5845381,00:03:00.7131402
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:38:27,00:00:04.8602090,00:03:05.5733492
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:38:32,00:00:13.7817162,00:03:19.3550654
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:38:46,00:00:09.0987074,00:03:28.4537728
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Yawn,11:38:55,00:00:02.3318035,00:03:30.7855763
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:38:58,00:00:11.9293140,00:03:42.7148903
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:39:09,00:00:04.2775077,00:03:46.9923980
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Pacing,11:39:14,00:00:22.7312115,00:04:09.7236095
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:39:36,00:00:27.0074541,00:04:36.7310636
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:40:04,00:00:11.3395264,00:04:48.0705900
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Inactive,11:40:15,00:00:01.0798681,00:04:49.1504581
MR,R10004,Sunny,,2018-11-7,1.0.37.0,Pacing,11:40:16,00:00:15.5893767,00:05:04.7398348
