Focal Animal Recording
(c)Michael J. Renner

Observer:,MR
Study Code:,Sass
Indiv ID:,Rh2484
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-11-7
Behavior Time:,11:40 AM
Ethogram:,Gen behavior .csv
Coding Began:,11/07/2018 11:41:27 AM
Coding Ended:,11/07/2018 11:46:30 AM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:41:27,00:00:04.9292700,00:00:04.9292700
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Yawn,11:41:32,00:00:01.4034224,00:00:06.3326924
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:41:33,00:00:36.7673740,00:00:43.1000664
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Yawn,11:42:10,00:00:02.5419114,00:00:45.6419778
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:42:12,00:00:21.1999948,00:01:06.8419726
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:42:34,00:00:18.3097996,00:01:25.1517722
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:42:52,00:00:21.4657646,00:01:46.6175368
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Fear Grimace,11:43:13,00:00:03.0509662,00:01:49.6685030
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:43:16,00:00:02.9165592,00:01:52.5850622
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Fear Grimace,11:43:19,00:00:02.7518792,00:01:55.3369414
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:43:22,00:00:02.8566575,00:01:58.1935989
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Fear Grimace,11:43:25,00:00:02.7527127,00:02:00.9463116
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:43:28,00:00:02.9670155,00:02:03.9133271
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Fear Grimace,11:43:31,00:00:02.7590218,00:02:06.6723489
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:43:33,00:00:10.8957762,00:02:17.5681251
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:43:44,00:00:05.2623258,00:02:22.8304509
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Present,11:43:50,00:00:06.1933017,00:02:29.0237526
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:43:56,00:00:11.0638334,00:02:40.0875860
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Present,11:44:07,00:00:41.5177435,00:03:21.6053295
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:44:48,00:00:03.7513586,00:03:25.3566881
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Yawn,11:44:52,00:00:02.0655864,00:03:27.4222745
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:44:54,00:00:04.2981605,00:03:31.7204350
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Head toss,11:44:58,00:00:01.9025221,00:03:33.6229571
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Present,11:45:00,00:00:04.1481959,00:03:37.7711530
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Head toss,11:45:04,00:00:01.5626501,00:03:39.3338031
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:45:06,00:00:15.7369084,00:03:55.0707115
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Head toss,11:45:22,00:00:02.9802056,00:03:58.0509171
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:45:25,00:00:01.6132687,00:03:59.6641858
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:45:26,00:00:16.9613797,00:04:16.6255655
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:45:43,00:00:01.5614839,00:04:18.1870494
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Head toss,11:45:45,00:00:03.1198089,00:04:21.3068583
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:45:48,00:00:01.1817052,00:04:22.4885635
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Head toss,11:45:49,00:00:01.1877691,00:04:23.6763326
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Present,11:45:50,00:00:02.9467568,00:04:26.6230894
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:45:53,00:00:02.3248435,00:04:28.9479329
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:45:56,00:00:19.4213999,00:04:48.3693328
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:46:15,00:00:01.1902566,00:04:49.5595894
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Head toss,11:46:16,00:00:03.1364139,00:04:52.6960033
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Locomotion,11:46:19,00:00:00.9042231,00:04:53.6002264
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Vocal,11:46:20,00:00:02.9723824,00:04:56.5726088
MR,Rh2484,Sunny,,2018-11-7,1.0.37.0,Inactive,11:46:23,00:00:05.2514995,00:05:01.8241083
