Focal Animal Recording
(c)Michael J. Renner

Observer:,MR
Study Code:,Sass
Indiv ID:,r14104
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-2
Behavior Time:,10:39 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/02/2018 10:40:50 AM
Coding Ended:,10/02/2018 10:45:57 AM
Session duration:,00:05:06
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:40:50,00:00:03.8771304,00:00:03.8771304
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:40:54,00:00:02.9063295,00:00:06.7834599
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:40:57,00:00:09.2593624,00:00:16.0428223
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:41:06,00:00:12.3671710,00:00:28.4099933
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:41:19,00:00:08.4310684,00:00:36.8410617
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:41:27,00:00:12.1237998,00:00:48.9648615
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:41:39,00:00:07.9882208,00:00:56.9530823
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:41:47,00:00:03.3539865,00:01:00.3070688
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:41:50,00:00:00.1030119,00:01:00.4100807
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:41:51,00:00:24.4952767,00:01:24.9053574
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:42:15,00:00:55.6500911,00:02:20.5554485
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:43:11,00:00:16.7781420,00:02:37.3335905
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:43:28,00:00:13.4713826,00:02:50.8049731
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:43:41,00:00:09.1249525,00:02:59.9299256
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Tactile/explore,10:43:50,00:00:03.6131207,00:03:03.5430463
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:43:54,00:00:01.7808749,00:03:05.3239212
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:43:55,00:00:14.7522426,00:03:20.0761638
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:44:10,00:00:09.8871702,00:03:29.9633340
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:44:20,00:00:21.3390079,00:03:51.3023419
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:44:41,00:00:09.0713615,00:04:00.3737034
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:44:51,00:00:06.6944267,00:04:07.0681301
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Tactile/explore,10:44:57,00:00:08.3613937,00:04:15.4295238
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Inactive,10:45:06,00:00:19.6936687,00:04:35.1231925
MR,r14104,Sunny,,2018-10-2,1.0.37.0,Tactile/explore,10:45:25,00:00:29.2353154,00:05:04.3585079
