Focal Animal Recording
(c)Michael J. Renner

Observer:,MR
Study Code:,Sass
Indiv ID:,rh2598
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2018-10-2
Behavior Time:,10:17 AM
Ethogram:,Gen behavior .csv
Coding Began:,10/02/2018 10:19:32 AM
Coding Ended:,10/02/2018 10:24:36 AM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:19:32,00:00:02.0218168,00:00:02.0218168
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:19:34,00:00:04.1622081,00:00:06.1840249
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:19:38,00:00:02.5347346,00:00:08.7187595
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:19:40,00:00:02.8533167,00:00:11.5720762
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:19:43,00:00:06.0474539,00:00:17.6195301
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:19:49,00:00:07.5625328,00:00:25.1820629
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:19:57,00:00:06.8254900,00:00:32.0075529
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:20:04,00:00:14.3456400,00:00:46.3531929
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:20:18,00:00:02.0029057,00:00:48.3560986
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:20:20,00:00:02.5116163,00:00:50.8677149
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:20:23,00:00:03.8442362,00:00:54.7119511
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:20:26,00:00:04.0473003,00:00:58.7592514
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:20:30,00:00:02.6045743,00:01:01.3638257
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:20:33,00:00:03.7934435,00:01:05.1572692
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:20:37,00:00:03.0287853,00:01:08.1860545
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:20:40,00:00:18.1416044,00:01:26.3276589
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:20:58,00:00:13.1128043,00:01:39.4404632
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:21:11,00:00:22.5786798,00:02:02.0191430
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:21:34,00:00:02.3016869,00:02:04.3208299
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:21:36,00:00:04.7380363,00:02:09.0588662
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:21:41,00:00:05.3045293,00:02:14.3633955
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:21:46,00:00:07.5093919,00:02:21.8727874
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:21:54,00:00:07.4318166,00:02:29.3046040
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:22:01,00:00:04.9550066,00:02:34.2596106
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:22:06,00:00:08.0334943,00:02:42.2931049
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:22:14,00:00:08.2093833,00:02:50.5024882
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:22:22,00:00:08.7946069,00:02:59.2970951
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:22:31,00:00:03.3577698,00:03:02.6548649
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:22:34,00:00:04.0068169,00:03:06.6616818
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:22:38,00:00:32.5714689,00:03:39.2331507
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:23:11,00:00:14.7685908,00:03:54.0017415
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:23:26,00:00:07.5420166,00:04:01.5437581
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:23:33,00:00:03.1507468,00:04:04.6945049
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:23:36,00:00:03.5639024,00:04:08.2584073
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:23:40,00:00:05.3735548,00:04:13.6319621
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Locomotion,10:23:45,00:00:03.7229418,00:04:17.3549039
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:23:49,00:00:15.8618090,00:04:33.2167129
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Threat,10:24:05,00:00:09.1949934,00:04:42.4117063
MR,rh2598,Sunny,,2018-10-2,1.0.37.0,Inactive,10:24:14,00:00:19.6702532,00:05:02.0819595
