Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,sas
Indiv ID:,cy0710
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-26
Behavior Time:,10:44 AM
Ethogram:,2020 sas.csv
Coding Began:,02/26/2020 10:45:12 AM
Coding Ended:,02/26/2020 10:50:35 AM
Session duration:,00:05:22
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:45:12,00:00:11.5394222,00:00:11.5394222
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Vocal,10:45:24,00:00:01.4638896,00:00:13.0033118
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:45:25,00:00:06.3486260,00:00:19.3519378
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Scratch,10:45:32,00:00:02.3850803,00:00:21.7370181
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:45:34,00:00:11.1583953,00:00:32.8954134
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Mantle shake,10:45:45,00:00:02.9042173,00:00:35.7996307
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:45:48,00:00:04.2912453,00:00:40.0908760
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Mantle shake,10:45:52,00:00:03.4147715,00:00:43.5056475
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:45:56,00:00:31.8004093,00:01:15.3060568
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Yawn,10:46:28,00:00:04.5836996,00:01:19.8897564
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Mantle shake,10:46:32,00:00:02.9371961,00:01:22.8269525
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:46:35,00:00:34.9647021,00:01:57.7916546
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Yawn,10:47:10,00:00:02.7428678,00:02:00.5345224
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:47:13,00:01:46.0417920,00:03:46.5763144
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Yawn,10:48:59,00:00:02.0208967,00:03:48.5972111
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Self-direct,10:49:01,00:00:13.3882989,00:04:01.9855100
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:49:14,00:00:30.5949325,00:04:32.5804425
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Self-direct,10:49:45,00:00:05.0214827,00:04:37.6019252
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Mantle shake,10:49:50,00:00:02.6747476,00:04:40.2766728
ta,cy0710,Sunny,,2020-2-26,1.0.37.0,Inactive,10:49:53,00:00:41.5380460,00:05:21.8147188
