Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,2020 Sas
Indiv ID:,Cy0726
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-14
Behavior Time:,11:03 AM
Ethogram:,2020 sas.csv
Coding Began:,02/14/2020 11:08:41 AM
Coding Ended:,02/14/2020 11:13:45 AM
Session duration:,00:05:04
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Groom,11:08:41,00:00:30.3033335,00:00:30.3033335
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Lipsmack,11:09:11,00:00:06.4223324,00:00:36.7256659
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Scratch,11:09:17,00:00:20.3822786,00:00:57.1079445
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Self-direct,11:09:38,00:00:07.4980468,00:01:04.6059913
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Scratch,11:09:45,00:00:04.2350405,00:01:08.8410318
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Inactive,11:09:50,00:00:08.6958523,00:01:17.5368841
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Mantle shake,11:09:58,00:00:03.0147873,00:01:20.5516714
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Inactive,11:10:01,00:00:21.9720780,00:01:42.5237494
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Scratch,11:10:23,00:00:09.6070139,00:01:52.1307633
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Inactive,11:10:33,00:00:17.0805758,00:02:09.2113391
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Scratch,11:10:50,00:00:03.6740717,00:02:12.8854108
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Scratch,11:10:54,00:00:00.4259585,00:02:13.3113693
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Yawn,11:10:54,00:00:02.1137537,00:02:15.4251230
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Inactive,11:10:56,00:00:08.0703958,00:02:23.4955188
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Scratch,11:11:04,00:00:11.3329095,00:02:34.8284283
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Inactive,11:11:16,00:00:21.2403213,00:02:56.0687496
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Yawn,11:11:37,00:00:02.9185916,00:02:58.9873412
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Inactive,11:11:40,00:01:49.1603592,00:04:48.1477004
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Scratch,11:13:29,00:00:02.7269452,00:04:50.8746456
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Inactive,11:13:32,00:00:05.8355461,00:04:56.7101917
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Scratch,11:13:37,00:00:03.6993923,00:05:00.4095840
Bnp,Cy0726,Sunny,,2020-2-14,1.0.37.0,Inactive,11:13:41,00:00:02.8711525,00:05:03.2807365
