Focal Animal Recording
(c)Michael J. Renner

Observer:,Pjp
Study Code:,2020 sas
Indiv ID:,Rh2690
Obs Site:,Blank Park Zoo
Obs Type:,Live
Weather:,Sunny
Temperature:,A246-1
Behavior Date:,2019-12-11
Behavior Time:,04:09 PM
Ethogram:,2020 sas.csv
Coding Began:,12/11/2019 16:12:29 PM
Coding Ended:,12/11/2019 16:17:59 PM
Session duration:,00:05:30
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Inactive,04:12:29,00:00:04.4701893,00:00:04.4701893
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Locomotion,04:12:33,00:00:03.7626624,00:00:08.2328517
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Pacing,04:12:37,00:00:06.3790994,00:00:14.6119511
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Lipsmack,04:12:43,00:00:04.3872887,00:00:18.9992398
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Inactive,04:12:48,00:00:03.6284131,00:00:22.6276529
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Fear grimace,04:12:51,00:00:01.2902445,00:00:23.9178974
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Inactive,04:12:53,00:00:06.4466877,00:00:30.3645851
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Lipsmack,04:12:59,00:00:25.5646677,00:00:55.9292528
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Pacing,04:13:25,00:00:01.3701028,00:00:57.2993556
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Inactive,04:13:26,00:00:02.4658570,00:00:59.7652126
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Vocal,04:13:29,00:00:01.8772781,00:01:01.6424907
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Lipsmack,04:13:30,00:00:06.3873805,00:01:08.0298712
Pjp,Rh2690,Sunny,A246-1,2019-12-11,1.0.37.0,Inactive,04:13:37,00:00:01.7793934,00:01:09.8092646
