Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs
Indiv ID:,R09005
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-1-16
Behavior Time:,10:55 AM
Ethogram:,2020 sas.csv
Coding Began:,01/16/2020 10:56:26 AM
Coding Ended:,01/16/2020 11:01:28 AM
Session duration:,00:05:01
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Inactive,10:56:26,00:01:05.8388713,00:01:05.8388713
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Locomotion,10:57:32,00:00:07.3871600,00:01:13.2260313
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Pacing,10:57:40,00:00:19.2149274,00:01:32.4409587
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Inactive,10:57:59,00:00:04.6290514,00:01:37.0700101
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Locomotion,10:58:03,00:00:06.2553785,00:01:43.3253886
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Pacing,10:58:10,00:00:06.4940277,00:01:49.8194163
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Inactive,10:58:16,00:00:04.8679632,00:01:54.6873795
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Locomotion,10:58:21,00:00:06.6024884,00:02:01.2898679
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Pacing,10:58:28,00:00:08.1065705,00:02:09.3964384
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Inactive,10:58:36,00:00:07.0774467,00:02:16.4738851
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Locomotion,10:58:43,00:00:04.7206087,00:02:21.1944938
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Inactive,10:58:48,00:00:19.0375944,00:02:40.2320882
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Threat,10:59:07,00:00:08.1004816,00:02:48.3325698
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Locomotion,10:59:15,00:00:03.0409375,00:02:51.3735073
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Inactive,10:59:18,00:00:04.1840477,00:02:55.5575550
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Locomotion,10:59:22,00:00:05.0924036,00:03:00.6499586
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Display,10:59:27,00:00:03.0551236,00:03:03.7050822
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Locomotion,10:59:30,00:00:13.5593862,00:03:17.2644684
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Inactive,10:59:44,00:00:18.0614215,00:03:35.3258899
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Scratch,11:00:02,00:00:02.6313378,00:03:37.9572277
Bnp,R09005,Sunny,,2020-1-16,1.0.37.0,Inactive,11:00:04,00:01:22.7603644,00:05:00.7175921
