Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,SAs
Indiv ID:,rh2471
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-19
Behavior Time:,11:36 AM
Ethogram:,2020 sas.csv
Coding Began:,02/19/2020 11:43:19 AM
Coding Ended:,02/19/2020 11:48:25 AM
Session duration:,00:05:05
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Groom,11:43:19,00:02:09.3110056,00:02:09.3110056
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Inactive,11:45:29,00:00:09.9237201,00:02:19.2347257
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Scratch,11:45:39,00:00:06.8139358,00:02:26.0486615
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Inactive,11:45:45,00:00:08.4545581,00:02:34.5032196
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Groom,11:45:54,00:00:31.0118767,00:03:05.5150963
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Scratch,11:46:25,00:00:03.4373892,00:03:08.9524855
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Groom,11:46:28,00:00:05.2905327,00:03:14.2430182
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Inactive,11:46:34,00:00:08.6280587,00:03:22.8710769
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Scratch,11:46:42,00:00:02.8063473,00:03:25.6774242
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Inactive,11:46:45,00:00:02.4465223,00:03:28.1239465
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Vocal,11:46:48,00:00:01.6796181,00:03:29.8035646
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Inactive,11:46:49,00:00:14.1365201,00:03:43.9400847
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Scratch,11:47:03,00:00:04.3217338,00:03:48.2618185
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Inactive,11:47:08,00:00:29.6251765,00:04:17.8869950
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Scratch,11:47:37,00:00:15.8017868,00:04:33.6887818
ta,rh2471,Sunny,,2020-2-19,1.0.37.0,Inactive,11:47:53,00:00:30.7411440,00:05:04.4299258
