Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs2020
Indiv ID:,R15074
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-3-12
Behavior Time:,12:03 PM
Ethogram:,2020 sas.csv
Coding Began:,03/12/2020 12:04:33 PM
Coding Ended:,03/12/2020 12:09:49 PM
Session duration:,00:05:16
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Inactive,12:04:33,00:00:03.1058274,00:00:03.1058274
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Locomotion,12:04:36,00:00:04.6264727,00:00:07.7323001
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Inactive,12:04:41,00:00:33.8187192,00:00:41.5510193
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Locomotion,12:05:15,00:00:06.1413051,00:00:47.6923244
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Inactive,12:05:21,00:00:21.2522342,00:01:08.9445586
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Locomotion,12:05:42,00:00:08.6737169,00:01:17.6182755
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Pacing,12:05:51,00:00:06.4467961,00:01:24.0650716
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Inactive,12:05:57,00:00:06.0604827,00:01:30.1255543
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Locomotion,12:06:03,00:00:06.5392962,00:01:36.6648505
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Pacing,12:06:10,00:00:28.6543263,00:02:05.3191768
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Tactile/explore,12:06:38,00:01:27.7108708,00:03:33.0300476
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Inactive,12:08:06,00:00:03.9852489,00:03:37.0152965
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Locomotion,12:08:10,00:00:03.6376226,00:03:40.6529191
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Pacing,12:08:14,00:00:20.2259058,00:04:00.8788249
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Inactive,12:08:34,00:00:28.2293592,00:04:29.1081841
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Locomotion,12:09:02,00:00:18.1426897,00:04:47.2508738
Bnp,R15074,Sunny,,2020-3-12,1.0.37.0,Pacing,12:09:20,00:00:28.1193326,00:05:15.3702064
