Focal Animal Recording
(c)Michael J. Renner

Observer:,Bnp
Study Code:,SAs2020
Indiv ID:,Rh2861
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-28
Behavior Time:,11:20 AM
Ethogram:,2020 sas.csv
Coding Began:,02/28/2020 11:28:01 AM
Coding Ended:,02/28/2020 11:33:03 AM
Session duration:,00:05:01
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Inactive,11:28:01,00:00:02.3679172,00:00:02.3679172
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Yawn,11:28:04,00:00:02.4387668,00:00:04.8066840
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Inactive,11:28:06,00:00:13.4976571,00:00:18.3043411
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Yawn,11:28:20,00:00:01.5961948,00:00:19.9005359
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Inactive,11:28:21,00:00:19.1929384,00:00:39.0934743
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Tactile/explore,11:28:40,00:00:23.0585178,00:01:02.1519921
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Inactive,11:29:03,00:00:08.2059052,00:01:10.3578973
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Scratch,11:29:12,00:00:02.9083747,00:01:13.2662720
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Inactive,11:29:15,00:00:37.0492190,00:01:50.3154910
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Yawn,11:29:52,00:00:02.7367589,00:01:53.0522499
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Tactile/explore,11:29:54,00:00:07.8964895,00:02:00.9487394
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Inactive,11:30:02,00:00:52.1970551,00:02:53.1457945
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Scratch,11:30:54,00:00:03.8976921,00:02:57.0434866
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Display,11:30:58,00:00:02.5505491,00:02:59.5940357
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Inactive,11:31:01,00:00:24.7769316,00:03:24.3709673
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Display,11:31:26,00:00:02.8195206,00:03:27.1904879
Bnp,Rh2861,Sunny,,2020-2-28,1.0.37.0,Inactive,11:31:28,00:01:33.3260933,00:05:00.5165812
