Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,sas
Indiv ID:,cy0472
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-25
Behavior Time:,11:56 AM
Ethogram:,2020 sas.csv
Coding Began:,02/26/2020 10:25:50 AM
Coding Ended:,02/26/2020 10:30:53 AM
Session duration:,00:05:03
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0472,Sunny,,2020-2-25,1.0.37.0,Inactive,10:25:50,00:05:01.6167573,00:05:01.6167573
