Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,sas
Indiv ID:,cy0615
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-3-6
Behavior Time:,12:39 PM
Ethogram:,2020 sas.csv
Coding Began:,03/06/2020 12:39:24 PM
Coding Ended:,03/06/2020 12:44:26 PM
Session duration:,00:05:02
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:39:24,00:00:18.9120931,00:00:18.9120931
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:39:42,00:00:07.0592069,00:00:25.9713000
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:39:49,00:00:09.4161363,00:00:35.3874363
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:39:59,00:00:10.7482525,00:00:46.1356888
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:40:10,00:00:26.6434846,00:01:12.7791734
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:40:36,00:00:01.2637543,00:01:14.0429277
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Vocal,12:40:38,00:00:02.1547956,00:01:16.1977233
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:40:40,00:00:44.2579421,00:02:00.4556654
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:41:24,00:00:01.7146493,00:02:02.1703147
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Vocal,12:41:26,00:00:00.9737357,00:02:03.1440504
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:41:27,00:00:05.9977208,00:02:09.1417712
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:41:33,00:00:22.2493267,00:02:31.3910979
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:41:55,00:00:08.5951225,00:02:39.9862204
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:42:04,00:00:10.2485978,00:02:50.2348182
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:42:14,00:00:09.9497796,00:03:00.1845978
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:42:24,00:00:00.6397654,00:03:00.8243632
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:42:24,00:00:19.3220204,00:03:20.1463836
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:42:44,00:00:09.4865144,00:03:29.6328980
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:42:53,00:00:02.9885201,00:03:32.6214181
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:42:56,00:00:00.5916102,00:03:33.2130283
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Display,12:42:57,00:00:02.1807719,00:03:35.3938002
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:42:59,00:00:01.9125702,00:03:37.3063704
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:43:01,00:00:33.8919801,00:04:11.1983505
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:43:35,00:00:02.6199901,00:04:13.8183406
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:43:37,00:00:05.2565142,00:04:19.0748548
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Scratch,12:43:43,00:00:04.7881302,00:04:23.8629850
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:43:47,00:00:07.1789926,00:04:31.0419776
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:43:55,00:00:11.2856437,00:04:42.3276213
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:44:06,00:00:02.6379299,00:04:44.9655512
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Yawn,12:44:08,00:00:02.0706911,00:04:47.0362423
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:44:11,00:00:05.2508934,00:04:52.2871357
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Threat,12:44:16,00:00:03.1886292,00:04:55.4757649
ta,cy0615,Sunny,,2020-3-6,1.0.37.0,Inactive,12:44:19,00:00:05.8032759,00:05:01.2790408
