Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,sas
Indiv ID:,cy1041
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-21
Behavior Time:,11:50 AM
Ethogram:,2020 sas.csv
Coding Began:,02/24/2020 11:10:21 AM
Coding Ended:,02/24/2020 11:15:28 AM
Session duration:,00:05:06
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Lipsmack,11:10:21,00:00:02.2064595,00:00:02.2064595
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:10:23,00:00:03.9343459,00:00:06.1408054
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:10:27,00:00:03.7614989,00:00:09.9023043
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:10:31,00:00:02.6685806,00:00:12.5708849
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:10:34,00:00:03.6218426,00:00:16.1927275
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:10:37,00:00:03.6229598,00:00:19.8156873
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Display,11:10:41,00:00:04.4470543,00:00:24.2627416
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Lipsmack,11:10:45,00:00:05.4419753,00:00:29.7047169
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:10:51,00:00:03.1723563,00:00:32.8770732
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:10:54,00:00:06.4780092,00:00:39.3550824
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:11:00,00:00:01.8084359,00:00:41.1635183
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:11:02,00:00:09.4174654,00:00:50.5809837
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:11:12,00:00:02.8068131,00:00:53.3877968
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:11:14,00:00:03.2058572,00:00:56.5936540
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:11:18,00:00:04.1718877,00:01:00.7655417
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:11:22,00:00:18.2097663,00:01:18.9753080
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:11:40,00:00:03.7829012,00:01:22.7582092
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:11:44,00:00:08.0597367,00:01:30.8179459
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Vocal,11:11:52,00:00:02.8540993,00:01:33.6720452
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:11:55,00:00:03.5158651,00:01:37.1879103
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:11:58,00:00:03.8428897,00:01:41.0308000
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:12:02,00:00:02.8813642,00:01:43.9121642
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:12:05,00:00:05.2500513,00:01:49.1622155
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Vocal,11:12:10,00:00:03.4459364,00:01:52.6081519
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Yawn,11:12:14,00:00:03.4808182,00:01:56.0889701
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:12:17,00:00:02.9793259,00:01:59.0682960
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:12:20,00:00:02.6690541,00:02:01.7373501
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Vocal,11:12:23,00:00:06.1894663,00:02:07.9268164
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:12:29,00:00:04.5617574,00:02:12.4885738
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:12:34,00:00:05.2136086,00:02:17.7021824
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:12:39,00:00:09.1591221,00:02:26.8613045
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Vocal,11:12:48,00:00:01.4536898,00:02:28.3149943
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:12:49,00:00:05.9661472,00:02:34.2811415
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Groom,11:12:55,00:00:09.7804719,00:02:44.0616134
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:13:05,00:00:10.2508237,00:02:54.3124371
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Groom,11:13:15,00:00:03.9624265,00:02:58.2748636
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Scratch,11:13:19,00:00:02.9576590,00:03:01.2325226
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Groom,11:13:22,00:00:03.6919712,00:03:04.9244938
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:13:26,00:00:02.1181174,00:03:07.0426112
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Locomotion,11:13:28,00:00:04.5225846,00:03:11.5651958
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:13:33,00:00:02.4566986,00:03:14.0218944
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Vocal,11:13:35,00:00:02.9013926,00:03:16.9232870
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:13:38,00:00:06.0144745,00:03:22.9377615
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Display,11:13:44,00:00:02.6901649,00:03:25.6279264
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Scratch,11:13:47,00:00:04.0383800,00:03:29.6663064
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Groom,11:13:51,00:00:15.1091392,00:03:44.7754456
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Threat,11:14:06,00:00:04.0728672,00:03:48.8483128
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Inactive,11:14:10,00:00:03.4986712,00:03:52.3469840
ta,cy1041,Sunny,,2020-2-21,1.0.37.0,Display,11:14:13,00:00:02.4889302,00:03:54.8359142
