Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,sas
Indiv ID:,r14097
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-2-25
Behavior Time:,11:39 AM
Ethogram:,2020 sas.csv
Coding Began:,02/25/2020 11:40:15 AM
Coding Ended:,02/25/2020 11:45:20 AM
Session duration:,00:05:05
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Inactive,11:40:15,00:00:19.4538285,00:00:19.4538285
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Locomotion,11:40:34,00:00:03.8273613,00:00:23.2811898
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Inactive,11:40:38,00:01:42.8868641,00:02:06.1680539
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Yawn,11:42:21,00:00:02.4401563,00:02:08.6082102
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Inactive,11:42:23,00:00:41.1826919,00:02:49.7909021
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Groom,11:43:04,00:00:04.8725533,00:02:54.6634554
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Locomotion,11:43:09,00:00:03.8280319,00:02:58.4914873
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Tactile/explore,11:43:13,00:00:19.7421539,00:03:18.2336412
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Groom,11:43:33,00:00:04.8961331,00:03:23.1297743
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Inactive,11:43:38,00:00:07.1812498,00:03:30.3110241
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Locomotion,11:43:45,00:00:04.9759800,00:03:35.2870041
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Pacing,11:43:50,00:00:25.7788967,00:04:01.0659008
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Tactile/explore,11:44:16,00:00:36.5147159,00:04:37.5806167
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Inactive,11:44:52,00:00:04.4071105,00:04:41.9877272
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Locomotion,11:44:56,00:00:05.1296506,00:04:47.1173778
ta,r14097,Sunny,,2020-2-25,1.0.37.0,Pacing,11:45:02,00:00:16.5405336,00:05:03.6579114
