Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,sas
Indiv ID:,rh2438
Obs Site:,Other Site
Obs Type:,Live
Weather:,Sunny
Temperature:,
Behavior Date:,2020-3-2
Behavior Time:,11:56 AM
Ethogram:,2020 sas.csv
Coding Began:,03/02/2020 11:57:47 AM
Coding Ended:,03/02/2020 12:02:55 PM
Session duration:,00:05:08
App Version:,1.0.37.0

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2438,Sunny,,2020-3-2,1.0.37.0,Inactive,11:57:47,00:05:07.1109669,00:05:07.1109669
