Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,mr,,,,,,,,
Study Code:,2021 bass,,,,,,,,
Indiv ID:,cy0937,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Group,,,,,,,,
Room/Cage:,cb22c1,,,,,,,,
Behavior Date:,4/26/21,,,,,,,,
Behavior Time:,10:37 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/26/21 10:38,,,,,,,,
Coding Ended:,4/26/21 10:43,,,,,,,,
Session duration:,0:05:07,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
Notes:,groom=groomed self,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Eat/drink,10:38:24,03:12.3,03:12.3
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Inactive,10:41:36,00:11.8,03:24.1
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Groom,10:41:48,00:05.6,03:29.8
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Inactive,10:41:53,00:18.1,03:47.9
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Groom,10:42:11,00:04.4,03:52.3
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Tactile/explore,10:42:16,00:29.0,04:21.4
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Locomotion,10:42:45,00:08.2,04:29.5
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Inactive,10:42:53,00:13.4,04:42.9
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Rock,10:43:06,00:03.6,04:46.5
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Inactive,10:43:10,00:12.0,04:58.5
mr,cy0937,Group,cb22c1,4/26/21,1.0.43.0,Eat/drink,10:43:22,00:06.8,05:05.4
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,4,00:55.3,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,1,00:08.2,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,2,03:19.2,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,1,00:29.0,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
Groom,2,00:10.0,,,,,,,
Rock,1,00:03.6,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
