Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,ta,,,,,,,,
Study Code:,bass,,,,,,,,
Indiv ID:,rh2935,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Pair,,,,,,,,
Room/Cage:,a262bc1,,,,,,,,
Behavior Date:,4/21/21,,,,,,,,
Behavior Time:,10:37 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/21/21 10:46,,,,,,,,
Coding Ended:,4/21/21 10:51,,,,,,,,
Session duration:,0:05:02,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rh2935,Pair,a262bc1,4/21/21,1.0.43.0,Inactive,10:46:57,00:20.6,00:20.6
ta,rh2935,Pair,a262bc1,4/21/21,1.0.43.0,Lipsmack,10:47:18,00:03.2,00:23.7
ta,rh2935,Pair,a262bc1,4/21/21,1.0.43.0,Inactive,10:47:21,00:30.3,00:54.0
ta,rh2935,Pair,a262bc1,4/21/21,1.0.43.0,Lipsmack,10:47:51,00:01.4,00:55.5
ta,rh2935,Pair,a262bc1,4/21/21,1.0.43.0,Inactive,10:47:53,01:14.5,02:10.0
ta,rh2935,Pair,a262bc1,4/21/21,1.0.43.0,Lipsmack,10:49:07,00:01.3,02:11.2
ta,rh2935,Pair,a262bc1,4/21/21,1.0.43.0,Inactive,10:49:08,02:50.0,05:01.2
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,4,04:55.4,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,0,0:00:00,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,0,0:00:00,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/explore,0,0:00:00,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Lipsmack,3,00:05.8,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,0,0:00:00,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
