Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,ta,,,,,,,,
Study Code:,bass,,,,,,,,
Indiv ID:,rhav42,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Single,,,,,,,,
Room/Cage:,a262bc9,,,,,,,,
Behavior Date:,4/21/21,,,,,,,,
Behavior Time:,11:00 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/21/21 11:01,,,,,,,,
Coding Ended:,4/21/21 11:06,,,,,,,,
Session duration:,0:05:03,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Inactive,11:01:37,00:25.9,00:25.9
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Scratch,11:02:03,00:03.5,00:29.4
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Inactive,11:02:07,00:04.9,00:34.3
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Yawn,11:02:12,00:03.2,00:37.5
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Inactive,11:02:15,00:19.8,00:57.3
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Locomotion,11:02:35,00:02.5,00:59.8
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Inactive,11:02:37,00:21.3,01:21.1
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Yawn,11:02:58,00:02.7,01:23.8
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Inactive,11:03:01,00:10.2,01:34.0
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Scratch,11:03:11,00:02.9,01:36.9
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Inactive,11:03:14,00:04.7,01:41.6
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Threat/display,11:03:19,00:01.1,01:42.8
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Inactive,11:03:20,00:11.3,01:54.1
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Scratch,11:03:31,00:04.6,01:58.7
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Tactile/explore,11:03:36,00:10.0,02:08.7
ta,rhav42,Single,a262bc9,4/21/21,1.0.43.0,Locomotion,11:03:46,00:05.9,02:14.6
