Focal Animal Recording,,,,,,,,,
(c)Michael J. Renner,,,,,,,,,
,,,,,,,,,
Observer:,ta,,,,,,,,
Study Code:,bass,,,,,,,,
Indiv ID:,rhbk39,,,,,,,,
Obs Site:,Blank Park Zoo,,,,,,,,
Obs Type:,Assessment,,,,,,,,
Housing:,Pair,,,,,,,,
Room/Cage:,a263ac1,,,,,,,,
Behavior Date:,4/19/21,,,,,,,,
Behavior Time:,11:15 AM,,,,,,,,
Ethogram:,2021 Bass.csv,,,,,,,,
Coding Began:,4/19/21 11:15,,,,,,,,
Coding Ended:,4/19/21 11:20,,,,,,,,
Session duration:,0:05:03,,,,,,,,
App Version:,1.0.43.0,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Inactive,11:15:39,01:25.6,01:25.6
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Locomotion,11:17:04,00:13.3,01:38.9
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Inactive,11:17:17,00:04.9,01:43.7
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Locomotion,11:17:22,00:15.0,01:58.7
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Pacing,11:17:37,00:05.2,02:03.9
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Inactive,11:17:42,00:10.0,02:13.9
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Locomotion,11:17:53,00:04.8,02:18.7
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Inactive,11:17:57,00:11.1,02:29.9
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Locomotion,11:18:08,00:08.7,02:38.5
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Inactive,11:18:17,00:17.9,02:56.5
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Locomotion,11:18:35,00:04.0,03:00.5
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Tactile/exploreore,11:18:39,00:40.2,03:40.7
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Locomotion,11:19:19,00:09.9,03:50.6
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Inactive,11:19:29,00:04.9,03:55.5
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Yawn,11:19:34,00:01.1,03:56.7
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Inactive,11:19:35,00:32.0,04:28.7
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Yawn,11:20:07,00:01.2,04:29.9
ta,rhbk39,Pair,a263ac1,4/19/21,1.0.43.0,Inactive,11:20:08,00:31.8,05:01.7
,,,,,,,,,
BehavCode, Occurrences, totalTime,,,,,,,
Inactive,8,03:18.3,,,,,,,
Threat/display,0,0:00:00,,,,,,,
Sex/self/other,0,0:00:00,,,,,,,
Locomotion,6,00:55.7,,,,,,,
Present,0,0:00:00,,,,,,,
Eat/drink,0,0:00:00,,,,,,,
Pacing,1,00:05.2,,,,,,,
FearGrimace,0,0:00:00,,,,,,,
Tactile/exploreore,1,00:40.2,,,,,,,
Jumping,0,0:00:00,,,,,,,
Scratch,0,0:00:00,,,,,,,
Lipsmack,0,0:00:00,,,,,,,
Swing/spin/flip,0,0:00:00,,,,,,,
Yawn,2,00:02.4,,,,,,,
Groom,0,0:00:00,,,,,,,
Rock,0,0:00:00,,,,,,,
Mantleshake,0,0:00:00,,,,,,,
Social/play,0,0:00:00,,,,,,,
Headtoss,0,0:00:00,,,,,,,
Selfdirect,0,0:00:00,,,,,,,
Vocal,0,0:00:00,,,,,,,
Salute,0,0:00:00,,,,,,,
Selfbite,0,0:00:00,,,,,,,
Other,0,0:00:00,,,,,,,
