Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,C19004
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Group
Room/Cage:,bmqh2c53
Behavior Date:,2021-6-14
Behavior Time:,12:27 PM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 12:28:19 PM
Coding Ended:,06/14/2021 12:33:22 PM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:28:19,00:00:05.7244408,00:00:05.7244408
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Lipsmack,12:28:25,00:00:02.9405780,00:00:08.6650188
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Scratch,12:28:28,00:00:02.1210723,00:00:10.7860911
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:28:30,00:00:03.1318211,00:00:13.9179122
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Eat/drink,12:28:33,00:00:10.1028255,00:00:24.0207377
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Threat/display,12:28:43,00:00:02.2149070,00:00:26.2356447
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:28:46,00:00:18.4866748,00:00:44.7223195
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Locomotion,12:29:04,00:00:05.6664855,00:00:50.3888050
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Lipsmack,12:29:10,00:00:02.0889743,00:00:52.4777793
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Locomotion,12:29:12,00:00:00.9461938,00:00:53.4239731
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Inactive,12:29:13,00:00:08.8726169,00:01:02.2965900
Js,C19004,Group,bmqh2c53,2021-6-14,1.0.46.0,Lipsmack,12:29:22,00:00:03.1225589,00:01:05.4191489
