Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R03092
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c13
Behavior Date:,2021-5-17
Behavior Time:,10:34 AM
Ethogram:,2021 bass.csv
Coding Began:,05/17/2021 10:37:13 AM
Coding Ended:,05/17/2021 10:42:15 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,SocGroom,10:37:13,00:00:37.3711366,00:00:37.3711366
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,Threat/display,10:37:50,00:00:44.8364466,00:01:22.2075832
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,SocGroom,10:38:35,00:00:24.6006889,00:01:46.8082721
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,Threat/display,10:39:00,00:00:04.4572002,00:01:51.2654723
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,Scratch,10:39:04,00:00:04.1620622,00:01:55.4275345
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,Threat/display,10:39:09,00:00:03.4269414,00:01:58.8544759
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,Yawn,10:39:12,00:00:05.1494509,00:02:04.0039268
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,SocGroom,10:39:17,00:00:06.7793220,00:02:10.7832488
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,Vocal,10:39:24,00:00:01.5498742,00:02:12.3331230
BNP,R03092,Group,Ab119c13,2021-5-17,1.0.46.0,SocGroom,10:39:25,00:02:48.0891206,00:05:00.4222436

BehavCode, Occurrences, totalTime
Inactive,0,00:00:00
Threat/display,3,00:00:52.7205882
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:04.1620622
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,1,00:00:05.1494509
SocGroom,4,00:03:56.8402681
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,1,00:00:01.5498742
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
