Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R03126
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab119c3
Behavior Date:,2021-6-18
Behavior Time:,10:44 AM
Ethogram:,2021 bass.csv
Coding Began:,06/18/2021 10:46:03 AM
Coding Ended:,06/18/2021 10:51:06 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:46:03,00:00:05.9232708,00:00:05.9232708
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Threat/display,10:46:09,00:00:01.7532949,00:00:07.6765657
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:46:10,00:00:08.4971757,00:00:16.1737414
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:46:19,00:00:05.7983722,00:00:21.9721136
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:46:25,00:00:02.8132079,00:00:24.7853215
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:46:27,00:00:02.2712443,00:00:27.0565658
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:46:30,00:00:16.2191430,00:00:43.2757088
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:46:46,00:00:04.3840478,00:00:47.6597566
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:46:50,00:00:04.9573320,00:00:52.6170886
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Yawn,10:46:55,00:00:00.8152446,00:00:53.4323332
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:46:56,00:00:49.7517716,00:01:43.1841048
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:47:46,00:00:02.8273338,00:01:46.0114386
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:47:49,00:00:04.2254828,00:01:50.2369214
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Yawn,10:47:53,00:00:02.0778699,00:01:52.3147913
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:47:55,00:00:14.5795598,00:02:06.8943511
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:48:10,00:00:04.5135425,00:02:11.4078936
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:48:14,00:01:17.0339225,00:03:28.4418161
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:49:31,00:00:04.5723981,00:03:33.0142142
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Threat/display,10:49:36,00:00:01.7665468,00:03:34.7807610
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:49:37,00:00:05.1761898,00:03:39.9569508
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:49:43,00:00:02.8144986,00:03:42.7714494
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Locomotion,10:49:45,00:00:06.7076408,00:03:49.4790902
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,Inactive,10:49:52,00:00:34.1032844,00:04:23.5823746
BNP,R03126,Pair,Ab119c3,2021-6-18,1.0.46.0,SocGroom,10:50:26,00:00:38.4946903,00:05:02.0770649

BehavCode, Occurrences, totalTime
Inactive,10,00:03:34.9953783
Threat/display,2,00:00:03.5198417
Sex/self/other,0,00:00:00
Locomotion,9,00:00:42.1740401
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,2,00:00:02.8931145
SocGroom,1,00:00:38.4946903
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
