Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R03138
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c23
Behavior Date:,2021-5-17
Behavior Time:,11:29 AM
Ethogram:,2021 bass.csv
Coding Began:,05/17/2021 11:30:40 AM
Coding Ended:,05/17/2021 11:35:42 AM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,SocGroom,11:30:40,00:00:30.7503817,00:00:30.7503817
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Social/play,11:31:10,00:00:13.6870226,00:00:44.4374043
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Threat/display,11:31:24,00:00:04.0001550,00:00:48.4375593
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Feargrimace,11:31:28,00:00:00.7831187,00:00:49.2206780
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Vocal,11:31:29,00:00:02.8831332,00:00:52.1038112
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,SocGroom,11:31:32,00:00:16.4054595,00:01:08.5092707
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Feargrimace,11:31:48,00:00:00.8283816,00:01:09.3376523
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Vocal,11:31:49,00:00:04.9243525,00:01:14.2620048
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Feargrimace,11:31:54,00:00:02.3054074,00:01:16.5674122
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Vocal,11:31:56,00:00:01.5534619,00:01:18.1208741
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Feargrimace,11:31:58,00:00:07.2724065,00:01:25.3932806
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Vocal,11:32:05,00:00:01.7618580,00:01:27.1551386
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Feargrimace,11:32:07,00:00:09.9987114,00:01:37.1538500
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Inactive,11:32:17,00:01:43.0820022,00:03:20.2358522
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Yawn,11:34:00,00:00:01.3349144,00:03:21.5707666
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Inactive,11:34:01,00:00:15.0670285,00:03:36.6377951
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,SocGroom,11:34:16,00:00:59.2990008,00:04:35.9367959
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Feargrimace,11:35:16,00:00:00.8640734,00:04:36.8008693
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Vocal,11:35:16,00:00:02.2201973,00:04:39.0210666
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Feargrimace,11:35:19,00:00:08.8749892,00:04:47.8960558
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Threat/display,11:35:28,00:00:06.9087659,00:04:54.8048217
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,Inactive,11:35:34,00:00:05.2802234,00:05:00.0850451
BNP,R03138,Group,Ab119c23,2021-5-17,1.0.46.0,SocGroom,11:35:40,00:00:01.3628640,00:05:01.4479091

BehavCode, Occurrences, totalTime
Inactive,3,00:02:03.4292541
Threat/display,2,00:00:10.9089209
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,7,00:00:30.9270882
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,1,00:00:01.3349144
SocGroom,4,00:01:47.8177060
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:00:13.6870226
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,5,00:00:13.3430029
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
