Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R06003
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh2c21
Behavior Date:,2021-5-20
Behavior Time:,12:42 PM
Ethogram:,2021 bass.csv
Coding Began:,05/20/2021 12:43:50 PM
Coding Ended:,05/20/2021 12:49:43 PM
Session duration:,00:05:53
App Version:,1.0.46.0
Notes:,Delete partial session from 5/6. Use this one.

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R06003,Pair,bmqh2c21,2021-5-20,1.0.46.0,Inactive,12:43:50,00:03:21.4633314,00:03:21.4633314
Js,R06003,Pair,bmqh2c21,2021-5-20,1.0.46.0,Threat/display,12:47:11,00:00:01.7785261,00:03:23.2418575
Js,R06003,Pair,bmqh2c21,2021-5-20,1.0.46.0,Inactive,12:47:13,00:01:37.6754451,00:05:00.9173026

BehavCode, Occurrences, totalTime
Inactive,2,00:04:59.1387765
Threat/display,1,00:00:01.7785261
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
