Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R06019
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c42
Behavior Date:,2021-6-14
Behavior Time:,10:54 AM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 10:55:36 AM
Coding Ended:,06/14/2021 11:00:37 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:55:36,00:00:00.8483381,00:00:00.8483381
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:55:37,00:00:01.1910373,00:00:02.0393754
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:55:38,00:00:02.0813081,00:00:04.1206835
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:55:40,00:00:00.8003139,00:00:04.9209974
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:55:41,00:00:01.2373000,00:00:06.1582974
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:55:42,00:00:01.3253205,00:00:07.4836179
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:55:44,00:00:02.0624212,00:00:09.5460391
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Inactive,10:55:46,00:00:03.4756376,00:00:13.0216767
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:55:49,00:00:00.7500525,00:00:13.7717292
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:55:50,00:00:00.5971688,00:00:14.3688980
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Inactive,10:55:51,00:00:01.8251915,00:00:16.1940895
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:55:52,00:00:00.5040417,00:00:16.6981312
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:55:53,00:00:00.4687844,00:00:17.1669156
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Inactive,10:55:53,00:00:01.9330810,00:00:19.0999966
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:55:55,00:00:00.6418913,00:00:19.7418879
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:55:56,00:00:01.2744006,00:00:21.0162885
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:55:57,00:00:01.1036561,00:00:22.1199446
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Inactive,10:55:58,00:00:03.2372866,00:00:25.3572312
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:56:02,00:00:00.6330739,00:00:25.9903051
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:56:02,00:00:01.2214937,00:00:27.2117988
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:56:03,00:00:00.6959303,00:00:27.9077291
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:56:04,00:00:02.3692301,00:00:30.2769592
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Inactive,10:56:06,00:00:03.1011359,00:00:33.3780951
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:56:10,00:00:02.5483887,00:00:35.9264838
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:56:12,00:00:01.0445368,00:00:36.9710206
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Vocal,10:56:13,00:00:01.4433017,00:00:38.4143223
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Inactive,10:56:15,00:00:04.2653294,00:00:42.6796517
BNP,R06019,Group,Ab119c42,2021-6-14,1.0.46.0,Feargrimace,10:56:19,00:00:00.6318273,00:00:43.3114790
