Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R07004
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab119c42
Behavior Date:,2021-6-14
Behavior Time:,11:00 AM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 11:01:26 AM
Coding Ended:,06/14/2021 11:06:27 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R07004,Group,Ab119c42,2021-6-14,1.0.46.0,Inactive,11:01:26,00:00:05.3918812,00:00:05.3918812
BNP,R07004,Group,Ab119c42,2021-6-14,1.0.46.0,Locomotion,11:01:31,00:00:01.4955963,00:00:06.8874775
BNP,R07004,Group,Ab119c42,2021-6-14,1.0.46.0,Inactive,11:01:33,00:00:19.1164260,00:00:26.0039035
BNP,R07004,Group,Ab119c42,2021-6-14,1.0.46.0,Locomotion,11:01:52,00:00:09.1552950,00:00:35.1591985
BNP,R07004,Group,Ab119c42,2021-6-14,1.0.46.0,Social/play,11:02:01,00:04:25.0695125,00:05:00.2287110

BehavCode, Occurrences, totalTime
Inactive,2,00:00:24.5083072
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:10.6508913
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,1,00:04:25.0695125
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
