Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R11043
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Group
Room/Cage:,Ab140c17
Behavior Date:,2021-5-13
Behavior Time:,10:33 AM
Ethogram:,2021 bass.csv
Coding Began:,05/13/2021 10:33:38 AM
Coding Ended:,05/13/2021 10:38:39 AM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Inactive,10:33:38,00:02:13.3435966,00:02:13.3435966
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Locomotion,10:35:51,00:00:11.5268385,00:02:24.8704351
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Pacing,10:36:03,00:00:03.0124847,00:02:27.8829198
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Jumping,10:36:06,00:00:02.6747541,00:02:30.5576739
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Inactive,10:36:08,00:00:22.6215259,00:02:53.1791998
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Salute,10:36:31,00:00:08.2461416,00:03:01.4253414
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Inactive,10:36:39,00:01:39.1210433,00:04:40.5463847
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Locomotion,10:38:18,00:00:03.3219547,00:04:43.8683394
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Threat/display,10:38:22,00:00:07.1182607,00:04:50.9866001
BNP,R11043,Group,Ab140c17,2021-5-13,1.0.46.0,Inactive,10:38:29,00:00:09.2584243,00:05:00.2450244

BehavCode, Occurrences, totalTime
Inactive,4,00:04:24.3445901
Threat/display,1,00:00:07.1182607
Sex/self/other,0,00:00:00
Locomotion,2,00:00:14.8487932
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,1,00:00:03.0124847
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,1,00:00:02.6747541
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,1,00:00:08.2461416
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
