Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R14009
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab144c8
Behavior Date:,2021-6-21
Behavior Time:,11:52 AM
Ethogram:,2021 bass.csv
Coding Began:,06/21/2021 11:53:04 AM
Coding Ended:,06/21/2021 11:58:15 AM
Session duration:,00:05:11
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Social/play,11:53:04,00:00:28.3810170,00:00:28.3810170
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Inactive,11:53:32,00:00:19.7916350,00:00:48.1726520
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Scratch,11:53:52,00:00:02.5338382,00:00:50.7064902
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Inactive,11:53:54,00:00:44.9255976,00:01:35.6320878
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Locomotion,11:54:39,00:00:02.6805068,00:01:38.3125946
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Inactive,11:54:42,00:00:11.7261729,00:01:50.0387675
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Mantleshake,11:54:54,00:00:01.6133914,00:01:51.6521589
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Inactive,11:54:55,00:01:27.5291383,00:03:19.1812972
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,SocGroom,11:56:23,00:00:55.0565522,00:04:14.2378494
BNP,R14009,Pair,Ab144c8,2021-6-21,1.0.46.0,Inactive,11:57:18,00:00:56.0415274,00:05:10.2793768

BehavCode, Occurrences, totalTime
Inactive,5,00:03:40.0140712
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:02.6805068
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,1,00:00:02.5338382
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,1,00:00:55.0565522
Headtoss,0,00:00:00
Mantleshake,1,00:00:01.6133914
Social/play,1,00:00:28.3810170
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
