Focal Animal Recording
(c)Michael J. Renner

Observer:,Js
Study Code:,2021bass
Indiv ID:,R15068
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,bmqh2c49
Behavior Date:,2021-6-14
Behavior Time:,12:01 PM
Ethogram:,2021 bass.csv
Coding Began:,06/14/2021 12:02:29 PM
Coding Ended:,06/14/2021 12:07:32 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
Js,R15068,Pair,bmqh2c49,2021-6-14,1.0.46.0,Inactive,12:02:29,00:01:18.2718639,00:01:18.2718639
Js,R15068,Pair,bmqh2c49,2021-6-14,1.0.46.0,Threat/display,12:03:47,00:00:02.5691604,00:01:20.8410243
Js,R15068,Pair,bmqh2c49,2021-6-14,1.0.46.0,Inactive,12:03:50,00:02:45.1175285,00:04:05.9585528
Js,R15068,Pair,bmqh2c49,2021-6-14,1.0.46.0,Threat/display,12:06:35,00:00:03.4585572,00:04:09.4171100
Js,R15068,Pair,bmqh2c49,2021-6-14,1.0.46.0,Inactive,12:06:38,00:00:51.7914389,00:05:01.2085489

BehavCode, Occurrences, totalTime
Inactive,3,00:04:55.1808313
Threat/display,2,00:00:06.0277176
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
